"Cell type","Early Tumor","Late Tumor","pvals","p.adj"
"Alv 1",0.119588195387058,0.311307052971678,0.597715049868807,0.683102914135779
"Alv 2",0.133565899875809,0.128576860238894,0.191557909991208,0.255410546654944
"Alv-Basal",0.128689598617271,0.0825095837474924,0.0486017536267206,0.165303544582294
"Basal",0.166987833336665,0.119135633014935,0.0619888292183604,0.165303544582294
"Undefined Alv",0.184053643399269,0.167153979303733,0.142146779457835,0.227434847132537
"Alv 3",0.135015474435238,0.115390742102913,0.130708058684232,0.227434847132537
"Alv-Proliferating",0.120259732076375,0.0575796999609783,0.0161205201754893,0.128964161403914
"Alv 4",0.0118396228723156,0.0183464486593764,0.741099776467791,0.741099776467791
