"","x"
"312","Abca12"
"313","Atic"
"314","Fn1"
"315","Apol7d"
"316","Mreg"
"317","Pecr"
"318","Xrcc5"
"319","March4"
"320","Smarcal1"
"321","Ankar"
"322","Igfbp2"
"323","Igfbp5"
"324","1700027A15Rik"
"325","Gm29185"
"326","Pinc"
"327","D530049I02Rik"
"328","C530043A13Rik"
"329","Gm29186"
"330","6030407O03Rik"
"331","Gm29183"
"332","Tns1"
"333","Cxcr2"
"334","Arpc2"
"335","Aamp"
"336","Pnkd"
"337","Tmbim1"
"338","Gm29358"
"339","Slc11a1"
"340","Ctdsp1"
"341","Vil1"
"342","Usp37"
"343","Cnot9"
"344","Plcd4"
"345","Zfp142"
"346","Bcs1l"
"347","Rnf25"
"348","Stk36"
"349","Ttll4"
"350","Cyp27a1"
"351","Wnt10a"
"352","Nhej1"
"353","Slc23a3"
"354","Cnppd1"
"355","Retreg2"
"356","Zfand2b"
"357","Abcb6"
"358","Atg9a"
"359","Ankzf1"
"360","Glb1l"
"361","Stk16"
"362","Tuba4a"
"363","A630095N17Rik"
"364","Dnajb2"
"365","Ptprn"
"366","Dnpep"
"367","Des"
"368","Speg"
"369","Gmppa"
"370","Chpf"
"371","Obsl1"
"372","Tmem198"
"373","Inha"
"374","Stk11ip"
"375","Slc4a3"
"376","Epha4"
"377","Gm28386"
"378","Sgpp2"
"379","Farsb"
"380","BC035947"
"381","Mogat1"
"382","Acsl3"
"383","Utp14b"
"384","Gm29536"
"385","Ap1s3"
"386","Wdfy1"
"387","Mrpl44"
"388","Serpine2"
"389","Cul3"
"390","Dock10"
"391","Nyap2"
"392","Irs1"
"393","Gm9747"
"394","Rhbdd1"
"395","Gm28940"
"396","Col4a4"
"397","Col4a3"
"398","C430014B12Rik"
"399","Mff"
"400","Gm28941"
"401","Tm4sf20"
"402","Agfg1"
"403","A030005L19Rik"
"404","Ccl20"
"405","Pid1"
"406","Dner"
"407","Trip12"
"408","Fbxo36"
"409","C130026I21Rik"
"410","A530032D15Rik"
"411","Gm10553"
"412","A530040E14Rik"
"413","Gm16028"
"414","Gm16025"
"415","Gm16092"
"416","Sp110"
"417","Sp140"
"418","Gm10552"
"419","Gm17017"
"420","Sp100"
"421","A630001G21Rik"
"422","Cab39"
"423","Itm2c"
"424","2810459M11Rik"
"425","Psmd1"
"426","Htr2b"
"427","Armc9"
"428","Gm16341"
"429","B3gnt7"
"430","Ncl"
"431","C130036L24Rik"
"432","Nmur1"
"433","Ptma"
"434","Pde6d"
"435","Cops7b"
"436","Nppc"
"437","Dis3l2"
"438","Gm29055"
"439","Gm28375"
"440","Eif4e2"
"441","Efhd1"
"442","Gigyf2"
"443","Kcnj13"
"444","Snorc"
"445","Ngef"
"446","Neu2"
"447","Inpp5d"
"448","Atg16l1"
"449","Sag"
"450","Dgkd"
"451","Gm19582"
"452","Usp40"
"453","Gm20528"
"454","Ugt1a6b"
"455","Dnajb3"
"456","Hjurp"
"457","Arl4c"
"458","Gm29337"
"459","1700067G17Rik"
"460","Sh3bp4"
"461","Agap1"
"462","Gm28499"
"463","4933400F21Rik"
"464","Ackr3"
"465","Gm28723"
"466","Cops8"
"467","Col6a3"
"468","Mlph"
"469","Rab17"
"470","Lrrfip1"
"471","Rbm44"
"472","Ramp1"
"473","Ube2f"
"474","Scly"
"475","Gm17090"
"476","Espnl"
"477","Erfe"
"478","Ilkap"
"479","Hes6"
"480","Per2"
"481","Gm28382"
"482","Traf3ip1"
"483","Asb1"
"484","Hdac4"
"485","Ndufa10"
"486","Cops9"
"487","Gm29481"
"488","Gpc1"
"489","Ankmy1"
"490","Dusp28"
"491","5033417F24Rik"
"492","Rnpepl1"
"493","9430060I03Rik"
"494","Capn10"
"495","Gpr35"
"496","Kif1a"
"497","Mab21l4"
"498","Sned1"
"499","Mterf4"
"500","Gm28535"
"501","Pask"
"502","Ppp1r7"
"503","Ano7"
"504","Hdlbp"
"505","Sept2"
"506","Farp2"
"507","Stk25"
"508","Gm28536"
"509","Bok"
"510","Thap4"
"511","Gm10550"
"512","Atg4b"
"513","Dtymk"
"514","Ing5"
"515","D2hgdh"
"516","Gal3st2b"
"517","Pdcd1"
"518","Fam174a"
"519","St8sia4"
"520","Panct2"
"521","Gm28901"
"522","D1Ertd622e"
"523","Ppip5k2"
"524","Gin1"
"525","Pam"
"526","B230216N24Rik"
"527","1810006J02Rik"
"528","Slco6d1"
"529","Gm7967"
