"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pgm2l1",6.78253378419396e-12,0.35334269684975,0.528,0.311,1.13336139533881e-07
"Gm36723",6.79079765087608e-12,0.382385422548008,0.263,0.096,1.13474228746139e-07
"Irf8",7.40739255721294e-12,0.381605941928615,0.827,0.645,1.23777529631028e-07
"Clint1",8.03455097862333e-12,-0.331513263801963,0.777,0.764,1.34257346852796e-07
"Ighm",8.11243961671471e-12,0.275689916121558,0.552,0.337,1.35558865995303e-07
"Fam169b",9.72646918769611e-12,-0.435113842334525,0.189,0.331,1.62529300126402e-07
"Rpn1",9.92342744177857e-12,0.326618486492678,0.735,0.527,1.6582047255212e-07
"Pnpla7",1.02551587371092e-11,0.301832797045159,0.673,0.455,1.71363702497095e-07
"Cfap36",1.06043710287869e-11,0.259447435109146,0.618,0.4,1.7719903989103e-07
"Aplp2",1.13308669755799e-11,0.281704303199629,0.671,0.453,1.8933878716194e-07
"Il21r",1.2765828504324e-11,0.291071935031097,0.845,0.657,2.13316994307254e-07
"Pik3ap1",1.41704243862325e-11,0.324104403257629,0.49,0.278,2.36787791493945e-07
"Tap1",1.42041630669873e-11,-0.289030576994591,0.677,0.646,2.37351564849358e-07
"Peli1",1.62163943109065e-11,-0.266543206663355,0.89,0.814,2.70975948935248e-07
"Dlg2",1.68370301867561e-11,-0.505286668270709,0.082,0.219,2.81346774420695e-07
"Fth1",2.43939240758874e-11,-0.276968139536895,0.988,0.971,4.07622471308079e-07
"Foxp4",2.75218522538706e-11,-0.400202711099598,0.215,0.324,4.59890151162178e-07
"Kifc3",2.7662459311199e-11,0.29693218593635,0.568,0.354,4.62239695090136e-07
"Adam19",3.3652694552387e-11,-0.450301532528113,0.675,0.707,5.62336525970386e-07
"Aff3",3.96995731566013e-11,-0.368548429687126,0.036,0.155,6.63379867446807e-07
"Gm19951",4.0949494110974e-11,-0.631285269610022,0.847,0.772,6.84266046594376e-07
"Tnfaip8",4.98820611363789e-11,-0.401787739713688,0.564,0.634,8.33529241588892e-07
"Slco3a1",5.23290185044865e-11,-0.371424832437869,0.062,0.179,8.7441789920997e-07
"Ifi27l2a",6.90034708344017e-11,-0.788473437765271,0.205,0.378,1.15304799764285e-06
"Ccnd2",8.14119632436893e-11,0.256737112732956,0.96,0.849,1.36039390580205e-06
"Atp6v1b2",8.61443797242236e-11,0.299579067915375,0.755,0.558,1.43947258519178e-06
"Nlrc5",9.45639590386424e-11,-0.428572937532712,0.484,0.551,1.58016375553571e-06
"Anxa6",9.65287924338521e-11,-0.254288746503363,0.731,0.722,1.61299612156967e-06
"Npm1",1.39544430897107e-10,-0.312703106161551,0.948,0.923,2.33178744029066e-06
"Fdx1",1.59393548702712e-10,0.373102722549767,0.568,0.363,2.66346619882232e-06
"Tnfrsf4",1.66411530977618e-10,-0.373050616951285,0.046,0.158,2.78073668263599e-06
"Adam8",1.70874421597687e-10,0.291962403326739,0.43,0.236,2.85531158489736e-06
"Serinc3",2.12219121331846e-10,-0.250131273229341,0.693,0.656,3.54618151745515e-06
"Cd2",2.26290126527186e-10,-0.415546456069423,0.5,0.61,3.78130801426929e-06
"Gzmk",2.28188278358601e-10,0.477983449744166,0.297,0.131,3.81302613137223e-06
"Ccdc80",2.56631349181986e-10,1.13657521658206,0.315,0.179,4.28830984483098e-06
