"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Car2",3.62538531391455e-26,0.52048859653981,0.948,0.764,6.05801885955122e-22
"Cd200r1",8.59907391728369e-26,0.497712200285159,0.843,0.547,1.4369052515781e-21
"Plcg2",9.27253592273363e-26,0.532440520670985,0.49,0.182,1.54944075268879e-21
"Glp1r",1.77171806810946e-25,0.452558175500283,0.787,0.471,2.96054089181091e-21
"Arhgap15",5.77015364701619e-25,-0.802697823915627,0.596,0.788,9.64192674416406e-21
"Hacd3",6.36351204287746e-25,0.455325449448673,0.833,0.536,1.06334286236482e-20
"Vim",7.85053948527743e-25,-0.679949876901015,0.861,0.871,1.31182514798986e-20
"Slc16a10",1.50278161295376e-24,0.486625246144591,0.414,0.131,2.51114807524573e-20
"Igha",1.64633194773619e-24,0.342584101395632,0.492,0.197,2.75102068466717e-20
"Bmp7",2.18103681121132e-24,0.414869328007663,0.275,0.048,3.64451251153411e-20
"Nrp2",2.42070529573612e-24,0.658609544489022,0.295,0.059,4.04499854917506e-20
"Tmem98",6.32009449411287e-24,0.452512773244618,0.233,0.029,1.05608778996626e-19
"Runx1",7.38680171069886e-24,0.552293262313274,0.462,0.169,1.23433456585778e-19
"Tcf7",1.06055050984175e-23,-0.78981937670944,0.072,0.302,1.77217990194557e-19
"Zdhhc14",1.20046499526814e-23,0.418399990822062,0.677,0.361,2.00597700709306e-19
"Lzts1",1.30438896942492e-23,0.48897860004766,0.608,0.295,2.17963396790904e-19
"Coq8b",1.79917604141681e-23,0.489256488430749,0.586,0.278,3.0064231652075e-19
"Tex2",1.87928884198694e-23,0.557146526223355,0.837,0.573,3.14029165496017e-19
"Mfsd10",1.93561931259245e-23,0.512607287569614,0.651,0.344,3.23441987134199e-19
"Trerf1",2.06012712113654e-23,0.437980659426341,0.747,0.438,3.44247241941916e-19
"Sytl3",2.56243529738872e-23,0.476180460735156,0.765,0.462,4.28182938193655e-19
"Itgav",4.34502981484498e-23,0.391821497149383,0.986,0.843,7.26054482060596e-19
"Itgb3",5.70895580061053e-23,0.546324713431749,0.582,0.276,9.5396651428202e-19
"Ltb",6.82025263069036e-23,-0.533179438500129,0.954,0.954,1.13966421458836e-18
"Sipa1l1",6.9593105602753e-23,0.457200144681128,0.92,0.698,1.162900794622e-18
"Lgals3",7.50979066695565e-23,0.446959151194295,0.986,0.878,1.25488602044829e-18
"Txk",8.79372508998226e-23,0.402959246370695,0.902,0.654,1.46943146253604e-18
"Rhoc",1.43234116683603e-22,0.320551903883983,0.574,0.276,2.393442089783e-18
"Itgal",1.90307244713156e-22,-0.640858717797671,0.235,0.49,3.18003405915683e-18
"Socs2",2.07656027233424e-22,0.520769990742065,0.554,0.256,3.46993221507052e-18
"2900026A02Rik",2.64093407592554e-22,0.424172503121332,0.791,0.499,4.41300084087157e-18
"Bcl11b",6.35107448737092e-22,-0.667953618856961,0.153,0.387,1.06126454683968e-17
"Il18r1",8.61357039550134e-22,-0.806306549136356,0.108,0.298,1.43932761308827e-17
"Gas5",8.82069146496542e-22,-0.360957752605223,0.839,0.779,1.47393754379572e-17
"Psmb8",9.17874446281372e-22,-0.343769786189682,0.982,0.936,1.53376819973617e-17
"Cd5",9.34307616399877e-22,-0.798898899212362,0.076,0.282,1.56122802700419e-17
"Bcl2l15",1.05582202316527e-21,0.437465650898817,0.319,0.083,1.76427860070917e-17
"Ccr8",1.14272519298655e-21,-0.523616777530948,0.018,0.19,1.90949379748052e-17
"Lgals1",1.42319173768479e-21,-0.93413380542632,0.245,0.525,2.37815339367128e-17
"Sh2d1b1",1.83296803105113e-21,0.366023856018491,0.367,0.114,3.06288957988644e-17
"Galnt18",1.94133820478984e-21,0.57437569463816,0.44,0.166,3.24397614020383e-17
"Entpd1",2.77799760888882e-21,0.442249223338508,0.813,0.538,4.64203400445321e-17
"Pde7b",4.0790856019464e-21,0.439840237725041,0.289,0.072,6.81615204085243e-17
"Myo1e",6.3538598705794e-21,0.511172455537511,0.807,0.536,1.06172998437382e-16
"Epas1",1.01227445949852e-20,0.442654453400008,0.392,0.134,1.69151062182202e-16
"Rnf130",1.18844772832154e-20,0.359239465182622,0.631,0.337,1.98589615402529e-16
"Plcxd2",1.99146504565781e-20,0.55720518715348,0.741,0.466,3.3277380912942e-16
"Pygl",2.21946800293361e-20,0.425063715087134,0.616,0.324,3.70873103290206e-16
"Emilin2",4.0192609763103e-20,0.379595131048178,0.486,0.21,6.71618509141452e-16
"Inpp4b",4.6588299134e-20,-0.524127640351604,0.96,0.937,7.7849047852914e-16
"Ctsa",5.01217944755271e-20,0.408528552680952,0.859,0.61,8.37535185686057e-16
"Trav7-5",6.52649416285714e-20,0.970232091178359,0.203,0.028,1.09057717461343e-15
"Cd6",8.06493013297392e-20,-0.760996410190222,0.347,0.584,1.34764982521994e-15
"Gsap",8.70231869185008e-20,0.388001603488861,0.55,0.267,1.45415745340815e-15
"Prr5",9.2717226072947e-20,0.372955043022566,0.329,0.098,1.54930484767894e-15
"Pde3b",1.21934054033413e-19,0.353842264552291,0.94,0.737,2.03751804289833e-15
"Grk6",1.4812053985971e-19,0.454618432559387,0.886,0.694,2.47509422105575e-15
"Metrnl",1.67476635583959e-19,0.457394718405413,0.59,0.306,2.79853458060795e-15
"Rin3",1.79707757722318e-19,0.255031140842762,0.781,0.514,3.00291663153993e-15
"Lat2",2.19409423052306e-19,0.369492340803588,0.767,0.492,3.66633145920403e-15
"Abcb1a",2.3044548980959e-19,0.471021710487775,0.849,0.606,3.85074413471825e-15
"1810041H14Rik",3.17897192034414e-19,0.359292247147231,0.382,0.136,5.31206207889506e-15
"Ppp1r3b",4.58791604078894e-19,0.310733252009811,0.641,0.363,7.66640770415832e-15
"Dock8",5.49208062695185e-19,0.446974049242385,0.974,0.86,9.17726672763654e-15
"Ak2",6.07517478142507e-19,0.340423029618277,0.851,0.604,1.01516170597613e-14
"Cst7",7.7559176177911e-19,0.389912908822644,0.982,0.886,1.29601383393289e-14
"Mbd2",9.7877805620877e-19,0.395141989863595,0.95,0.821,1.63553813192485e-14
"Arap3",1.00638186690077e-18,0.315957765462301,0.639,0.361,1.68166409959118e-14
"S100a1",1.02964789260462e-18,0.428737361492407,0.466,0.203,1.72054162854232e-14
"Zdhhc18",1.16613991103443e-18,0.378691680886322,0.98,0.862,1.94861979133853e-14
"Ehd1",1.17884349314874e-18,0.294662822530435,0.835,0.582,1.96984747705154e-14
"Park7",1.27542807847742e-18,-0.534764164119784,0.462,0.619,2.13124031913577e-14
"Ntan1",2.9325812716016e-18,0.373241508049308,0.888,0.665,4.90034330484627e-14
"Slamf7",3.0732904591184e-18,0.497236211742398,0.594,0.32,5.13546835718685e-14
"Prag1",3.44297487206988e-18,0.329806965406544,0.484,0.223,5.75321101122877e-14
"Nrp1",3.77318357692389e-18,-0.391227231329178,0.012,0.155,6.30498975703982e-14
"Gramd3",4.47639343706675e-18,-0.646369901460534,0.052,0.236,7.48005343333854e-14
"Sytl2",5.66255804234961e-18,0.316091705640626,0.715,0.446,9.46213448876619e-14
"Neurl3",5.71475931542e-18,0.500813028665137,0.833,0.599,9.54936281606682e-14
"Dapk2",6.85551227722609e-18,0.349047689299346,0.938,0.764,1.14555610152448e-13
"Il7r",7.37951797879546e-18,-0.90237935403146,0.12,0.333,1.23311745425672e-13
"Ntf5",7.85063183137666e-18,0.295651118396402,0.396,0.158,1.31184057902304e-13
"Fgf13",9.49070489428485e-18,-0.813974339886279,0.139,0.328,1.585896787835e-13
"Pcmtd1",1.46532639273796e-17,0.426382786019907,0.869,0.661,2.44856040226512e-13
"Eif2ak3",1.53554729090344e-17,0.29108612988726,0.6,0.335,2.56589952309964e-13
"Mcpt8",1.55706869052363e-17,0.376987471001876,0.127,0.006,2.60186178186499e-13
"H2-Q7",1.58778800027393e-17,-0.516250902477025,0.801,0.853,2.65319374845774e-13
"Grap2",1.84853391932961e-17,-0.549972838042996,0.552,0.567,3.08890017919977e-13
"Ptpn11",1.88172242974997e-17,0.289511298963781,0.801,0.549,3.1443581801122e-13
"Plek",2.81345101879305e-17,0.38429826246596,0.783,0.529,4.70127665240319e-13
"Nmrk1",3.44704369461434e-17,0.335516053495735,0.52,0.262,5.76001001370056e-13
"Napsa",3.79526380693724e-17,0.381080056413861,0.693,0.427,6.34188582139212e-13
"Dnm3",4.26089135795041e-17,0.417169095052303,0.281,0.081,7.11994945913513e-13
"Ms4a4b",4.72769371188657e-17,-0.572989449708009,0.114,0.317,7.89997619256246e-13
"Cd44",4.88027976675604e-17,-0.591510771241091,0.456,0.619,8.15494749024934e-13
"Acot7",6.22764957861571e-17,0.375325756535692,0.886,0.674,1.04064024458668e-12
"Eva1b",6.24202480055259e-17,0.366018065258056,0.773,0.519,1.04304234417234e-12
"Rasd2",7.90131380608371e-17,0.303616212558248,0.241,0.059,1.32030953699659e-12
"Ndufs4",1.35801795887594e-16,0.333442864219875,0.871,0.657,2.26924800928169e-12
"Ppm1b",1.6915684106116e-16,0.356440691098533,0.892,0.685,2.82661081413198e-12
"Cnppd1",1.70941475588705e-16,0.366399238846794,0.669,0.409,2.85643205708727e-12
"Sc5d",1.76931206429641e-16,0.333690245741137,0.363,0.138,2.95652045943929e-12
"Cers6",1.80672126225511e-16,0.328630281656658,0.749,0.495,3.01903122922829e-12
"Gpc1",1.99785906712789e-16,0.294014164184798,0.237,0.057,3.3384225011707e-12
"Plac8",2.5736544049711e-16,1.03901950996938,0.323,0.131,4.30057651070671e-12
"Elmo1",2.82400779459149e-16,-0.508755158440559,0.701,0.735,4.71891702476238e-12
"Ddx51",2.84358038067382e-16,0.299942300343255,0.361,0.138,4.75162281610595e-12
"Tmem123",2.97915893115589e-16,0.313638404901933,0.91,0.711,4.97817457396149e-12
"Tmsb4x",3.08945373561415e-16,0.353485899889936,0.998,0.991,5.16247719221125e-12
"Mxd4",3.12179246949456e-16,0.334675862319764,0.857,0.635,5.21651521652541e-12
"Eef1g",3.83618431975417e-16,-0.298806903432582,0.871,0.814,6.41026399830922e-12
"Uqcc2",4.0263451691706e-16,0.305434652787218,0.695,0.438,6.72802277768407e-12
"Hopx",4.42130735090008e-16,0.361682666523113,0.92,0.737,7.38800458335403e-12
"Furin",4.48706431148309e-16,0.313740442861568,0.817,0.58,7.49788446448825e-12
"Arfgef3",4.79579440040804e-16,0.262702418702047,0.219,0.05,8.01377244308183e-12
"Dgkh",4.81057590434107e-16,-0.340469445914283,0.02,0.162,8.03847233615393e-12
"Cmip",4.96685601898467e-16,0.309878833893874,0.946,0.783,8.29961640772338e-12
"Abcb9",7.98133441413803e-16,0.441113616088149,0.739,0.495,1.33368098060246e-11
"H2afz",8.20741707294575e-16,0.365524049523107,0.978,0.869,1.37145939288923e-11
"Chn2",1.19375040873716e-15,0.395819097025556,0.94,0.799,1.9947569329998e-11
"Klc1",1.25602346667539e-15,0.353515596131987,0.614,0.359,2.09881521281457e-11
"Aoah",1.65902521338118e-15,0.251916964247204,0.157,0.02,2.77223113155995e-11
"Gzmf",1.87360255615736e-15,2.65890716515779,0.183,0.039,3.13078987133895e-11
"Gnptab",1.95183760672805e-15,0.275155911235996,0.673,0.422,3.26152064084257e-11
"Tbc1d4",2.09936993831983e-15,-0.623859025774024,0.253,0.398,3.50804716693243e-11
"Csgalnact1",2.1302479559176e-15,0.341681565213761,0.297,0.099,3.55964433433831e-11
"Psme1",2.22288858692445e-15,-0.301609378670242,0.918,0.875,3.71444682875076e-11
"Lat",2.24859593393286e-15,-0.408233642332304,0.675,0.702,3.75740380560181e-11
"Pdxdc1",3.10358172300155e-15,0.289604936878579,0.578,0.328,5.1860850591356e-11
"Gpr34",3.19465061614487e-15,0.320003918001454,0.45,0.214,5.33826117957808e-11
"Sdcbp",4.35200578144565e-15,0.292397004784614,0.811,0.582,7.27220166079567e-11
"Igsf5",5.01205258125288e-15,0.300733011915813,0.245,0.068,8.37513986327356e-11
"Gm43042",5.49709818631636e-15,0.271830311267556,0.414,0.195,9.18565106933463e-11
"Tcrg-V3",6.16514727293112e-15,0.822038379009969,0.169,0.028,1.03019610930679e-10
"Colgalt1",6.3063197811527e-15,0.346046308501102,0.528,0.284,1.05378603543062e-10
"Prkcq",7.11282373195687e-15,-0.473268790230905,0.488,0.565,1.18855284560999e-10
"Lta",8.58510831363059e-15,-0.516243785283099,0.07,0.234,1.43457159920767e-10
"S100a10",1.12429369536564e-14,-0.287732422789958,0.936,0.871,1.87869476495599e-10
"Stk17b",1.14221052532183e-14,0.29916782065431,0.984,0.91,1.90863378781278e-10
"Tjp1",1.16333609708313e-14,0.35804346208054,0.321,0.12,1.94393461822591e-10
"Tiprl",1.18712754978681e-14,0.370903367021019,0.867,0.674,1.98369013569376e-10
"Itk",1.22700881735054e-14,-0.34931882699844,0.857,0.799,2.05033173379275e-10
"Hdac9",1.29808497543583e-14,0.409033949189829,0.622,0.376,2.16909999395327e-10
"Cx3cr1",1.38168239502e-14,-0.412909817828672,0.036,0.177,2.30879128207841e-10
"Elmo2",1.42973655905994e-14,0.303433769170732,0.655,0.409,2.38908979018917e-10
"Sema4a",1.63068483223544e-14,-0.385748304639707,0.06,0.212,2.72487435466542e-10
"Hvcn1",2.08544550502894e-14,0.310230533384018,0.53,0.291,3.48477943890336e-10
"Txn1",2.24870591182657e-14,-0.314702234593405,0.759,0.715,3.7575875786622e-10
"P2rx4",2.59375135389289e-14,0.272096126188731,0.333,0.133,4.33415851235502e-10
"Fgr",2.60267815984207e-14,0.353199550459099,0.269,0.087,4.3490752050961e-10
"Iqgap2",2.78868381715973e-14,-0.414631251956221,0.106,0.278,4.65989065847391e-10
"Osgin1",3.01508326206437e-14,0.269579580070755,0.486,0.258,5.03820413090955e-10
"Psmb9",3.63137776256876e-14,-0.30568963846877,0.873,0.842,6.06803224125239e-10
"Lyn",3.83954743010918e-14,0.336753634017656,0.637,0.394,6.41588375571243e-10
"4930520O04Rik",3.87280565826558e-14,0.305333081750787,0.681,0.44,6.47145825496179e-10
"Scn1b",4.17855172272855e-14,0.385849930674575,0.496,0.262,6.9823599286794e-10
"Itgax",5.38362771752809e-14,0.28449204408628,0.163,0.028,8.99604191598944e-10
