"__mclCluster","EnrichmentMap::Colouring (Data Set 1)","EnrichmentMap::ES (Data Set 1)","EnrichmentMap::fdr_qvalue (Data Set 1)","EnrichmentMap::fwer_qvalue (Data Set 1)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Data Set 1)","EnrichmentMap::pvalue (Data Set 1)","name","selected","shared name"
"1","0.9999999993167157",,"8.15491391187761E-8",,"NCKAP1L|IL6|SPN|IL1B|MALT1|LILR4B|NLRP3|IL4I1|LILRB4A|SLAMF1|CLEC4G|AGER|H2-M3|IL7R|STX7|FADD|VSIR|NECTIN2|XCL1|CD24A|TAP2|H2-EA|HFE|ARG1|TRAF2|CCR2|KLRD1|PVR|IL12A|FBXO38|SMAD7|B2M|H2-K1|ZBTB1|IL1R1|HMGB1|H2-T23|IL4|MAP3K7|FZD5|TBX21|H2-D1|IL23A|SLC22A13|TRAF6|IL20RB|NOD2|HSPD1|IL18|IL18R1|CD81|PPP3CB|CD55|PRKCZ|MR1|DUSP22|IFNB1|P2RX7|RSAD2|DENND1B|PTPRC|TNFSF4|GM49339|TNFRSF1B|WAS|ARID5A|GATA3|HSPA8|CYRIB|FOXP3|RIPK3|FUT7|ZP3|SASH3|TRPM4|CEACAM1|DPP4|IL12B","regulation of T cell mediated immunity","78","ENR","GO:0002709","1.0","6.83284291680663E-10","GO:0002709","false","GO:0002709"
"1","0.9999999983378803",,"1.62706410141238E-7",,"IL6|TNF|FCER2A|SH2D1A|SLAMF6|SH2D1B2|H2-M3|HPX|STX7|LTA|XCL1|CD24A|TAP2|GIMAP3|TRAF2|KLRD1|RASGRP1|PVR|FBXO38|RAET1E|B2M|H2-K1|ULBP1|H2-T23|IL4|MAP3K7|TBX21|H2-D1|STAT6|IL23A|PAXIP1|SLC22A13|6030468B19RIK|TRAF6|NOD2|HSPD1|ATAD5|IL18|CD40|TNFSFM13|TFRC|CD55|PRKCZ|MR1|P2RX7|LAMP1|CD28|DENND1B|PTPRC|IL21|TNFSF4|IL2|EXOSC3|TGFB1|MAD2L2|HMCES|PAGR1A|STAT5B|LAG3|KLRC1|RIF1|STAT5A|CYRIB|FOXP3|CLCF1|SHLD2|ZP3|SASH3|TRP53BP1|SHLD1|KMT5B|FCER1A|IL18RAP|IL12B|CADM1|IFNG|AP1G1|NSD2|BTK|KMT5C|TNFSF13|GM42742|IL1B|MALT1|EXOSC6|NLRP3|SHLD3|SLAMF1|KLRC3|CD226|VAV1|MLH1|FADD|NECTIN2|H2-EA|IL12A|CLNK|ZBTB1|IL1R1|FZD5|FCGR1|IL18R1|CD81|CRTAM|RSAD2|KLRE1|KLRK1|CD160|KLRC2|GIMAP5|ARID5A|GATA3|HSPA8|TREM2|FCER1G|DPP4|MSH2|C3","positive regulation of lymphocyte mediated immunity","118","ENR","GO:0002708","1.0","1.66211971726747E-9","GO:0002708","false","GO:0002708"
"13","0.9999995405368287",,"2.42524481799514E-5",,"TNF|ACTG1|H2-AB1|CCL20|DAPK3|PTPN2|HPX|NOS2|IRF1|IRF8|XCL1|OTOP1|TLR2|DAPK1|NLRC5|TRP53|ARG1|ACTR2|CDC42EP4|FLNB|MYO1C|STXBP2|ADAMTS13|RPS6KB1|STX8|MRC1|RAB7B|PDE12|CDC42EP2|VIM|STAR|CASP1|RAB12|ACTR3|TLR3|WAS|FASL|CCL3|STXBP3|SOCS1|STXBP1|CCL26|CCL19|EPRS|GBP5|STX4A|GM13304|EDN1|RAB43|CCL24|KIF16B|VAMP3|CX3CL1|CCL22|IL12B|GBP3|CCL17|MIR511|DNAJA3|GBP2|GBP9|IFNG|CDC42|GBP8|H2-Q7|CCL8|GBP7|CCL21D|ZYX|CCL21A|CCL21B|GAPDH|GM10591|GM43302|GBP11|GBP6|GBP10|RPL13A|IRGM1|CDC37|PARP14|WNT5A|CCL6|CCL4|CCL9|RAB20|VPS26B|IGTP|SYNCRIP|STAT1|KIF5B|ASS1|MYC|CCL5|CCL11|CCL1|CCL7|CLDN1|AIF1|STXBP4|SIRPA|GSN|AQP4|VAMP4|TLR4|CCL25|TXK|CCL2|CD47|EVL|SLC26A6|NMI|RAB11FIP5|MYO18A|CIITA|CCL12|HSP90AB1|IL12RB1|PARP9|JAK2|MED1|GBP4","cellular response to interferon-gamma","122","ENR","GO:0071346","1.0","4.59463171314086E-7","GO:0071346","false","GO:0071346"
"7","0.9999976306982973",,"9.94600964541991E-5",,"NCKAP1L|DYSF|MOSPD2|LBP|CCL20|IL17RC|S100A14|ANXA1|XCL1|PPBP|CXCL1|RIPOR2|C5AR1|TREM3|EDN3|PREX1|TREM1|SCG2|SRP54A|HRH1|CXCL2|RARRES2|IL4|DPEP1|IL23A|NOD2|TNFAIP6|TGFB2|RAC1|CXCL13|CXCL15|CXCL3|MSTN|CXCL17|AKIRIN1|SLIT2|EDNRA|S100A8|CXCL9|S100A9|PIKFYVE|CXCL5|CXCL10|MCU|CCL3|CCL26|DNM1L|CCL19|SELL|PPIA|GM13304|EDN1|ITGB2L|CCL24|JAM3|C5AR2|IL34|CX3CL1|CCL22|CCL17|MDK|IFNG|CSF3R|GM5849|PPIB|CCL8|CCL21D|CCL21A|BST1|CCL21B|GM10591|IL1B|SLAMF1|VAV1|MPP1|CCL6|CCL4|CCL9|DAPK2|TRPV4|CXCR2|MAPK3|MAPK1|CCL5|CCL11|CCL1|PDE4B|PF4|CCL7|CCR3|SLC37A4|SYK|ITGA9|CAMK1D|VAV3|JAML|CCR7|LGALS3|CSF1|PTK2|CXADR|EDN2|RAC2|CMKLR1|CXCR1|PDE4D|CCL25|CCL2|SRP54B|BSG|C3AR1|SPP1|THBS4|CCL12|FCER1G|GBF1|VEGFA|CKLF|IL17B|IL17RA|CD74|CSF1R|DPP4|ITGA1|TNFSF18|C1QBP","granulocyte chemotaxis","126","ENR","GO:0071621","1.0","2.36930170270403E-6","GO:0071621","false","GO:0071621"
"1","0.9999998724278653",,"7.71739745698454E-6",,"NCKAP1L|SPN|SH2D1B2|LILR4B|IL4I1|LILRB4A|SLAMF1|CLEC4G|IL7R|SERPINB9B|SERPINB9C|VSIR|TAP2|HFE|ARG1|CLEC2D|CLEC12B|KLRD1|TAP1|SERPINB9F|SERPINB9|SMAD7|SERPINB9D|SERPINB9G|SERPINB9E|LGALS9|HAVCR2|FOXJ1|TBX21|C4BP|SERPINB9H|BCL6|IL20RB|NOD2|SUSD4|KLRB1B|PPP3CB|CD55|PARP3|GFER|DUSP22|THOC1|IFNB1|NDFIP1|PTPRC|KLRE1|GM49339|CRK|CR1L|CD96|CD46|PTPN6|FOXP3|IGF2|CEACAM1|ARRB2","negative regulation of lymphocyte mediated immunity","56","ENR","GO:0002707","1.0","1.27572134782991E-7","GO:0002707","false","GO:0002707"
"1","0.9999999999999998",,"1.1225616016827E-13",,"NCKAP1L|IL6|TNF|FCER2A|SH2D1A|SLAMF6|SH2D1B2|IL4I1|CLEC4G|H2-M3|HPX|STX7|PIK3R6|SERPINB9B|SERPINB9C|VSIR|LTA|XCL1|CD24A|TAP2|GIMAP3|ARG1|TRAF2|CLEC2D|CLEC12B|CCR2|KLRD1|TAP1|RASGRP1|SERPINB9F|PVR|FBXO38|SERPINB9|SMAD7|RAET1E|SERPINB9D|SERPINB9G|B2M|H2-K1|APLF|ULBP1|SERPINB9E|LGALS9|H2-T23|HAVCR2|IL4|MAP3K7|TBX21|SERPINB9H|SUPT6|H2-D1|STAT6|IL23A|PAXIP1|SLC22A13|IL27RA|6030468B19RIK|TRAF6|NOD2|HSPD1|ATAD5|IL18|CD40|TNFSFM13|KLRB1B|TFRC|CD55|PRKCZ|PARP3|MR1|THOC1|NDFIP1|P2RX7|LAMP1|CD28|DENND1B|PTPRC|IL21|TNFSF4|IL2|EXOSC3|TGFB1|MAD2L2|SLC15A4|GM49339|HMCES|TNFRSF1B|PAGR1A|STAT5B|WAS|CRK|LAG3|KLRC1|RIF1|STAT5A|CYRIB|PTPN6|FOXP3|RIPK3|CLCF1|SHLD2|LEP|ZP3|SASH3|CEACAM1|TRP53BP1|SHLD1|KMT5B|FCER1A|IL18RAP|IL12B|CADM1|IFNG|AP1G1|NSD2|ARRB2|BTK|KMT5C|MIR181B-1|MIR181B-2|SPN|TNFSF13|GM42742|IL1B|MALT1|EXOSC6|LILR4B|NLRP3|LILRB4A|SHLD3|SLAMF1|AGER|KLRC3|IL7R|CD226|VAV1|MLH1|FADD|NECTIN2|H2-EA|HFE|IL12A|CLNK|ZBTB1|IL1R1|HMGB1|FOXJ1|FZD5|C4BP|BCL6|IL20RB|FCGR1|IL18R1|SUSD4|CD81|PPP3CB|GFER|DUSP22|IFNB1|CRTAM|RSAD2|KLRE1|KLRK1|CD160|KLRC2|GIMAP5|ARID5A|GATA3|HSPA8|TREM2|CR1L|CD96|FCER1G|CD46|FUT7|TRPM4|IGF2|DPP4|MSH2|C3","regulation of lymphocyte mediated immunity","180","ENR","GO:0002706","1.0","2.08499554547307E-16","GO:0002706","false","GO:0002706"
"1","0.9999999997788768",,"2.97631810356707E-8",,"IL6|TNF|FCER2A|SH2D1A|SLAMF6|SH2D1B2|H2-M3|HPX|STX7|LTA|XCL1|CD24A|TAP2|GIMAP3|ARG1|CXCL1|TRAF2|KLRD1|RASGRP1|MAVS|PVR|FBXO38|RAET1E|DDX58|B2M|H2-K1|ULBP1|H2-T23|IL4|MAP3K7|TBX21|H2-D1|STAT6|IL23A|PAXIP1|SLC22A13|6030468B19RIK|TRAF6|NOD2|HSPD1|ATAD5|IL18|SCIMP|CD40|TNFSFM13|TFRC|CD55|PRKCZ|MR1|P2RX7|LAMP1|CD28|DENND1B|PTPRC|IL21|TNFSF4|IL2|EXOSC3|TGFB1|MAD2L2|HMCES|PTAFR|PAGR1A|STAT5B|TYROBP|LAG3|KLRC1|RIF1|STAT5A|CYRIB|FOXP3|DDX1|CLCF1|STX4A|SPI1|SHLD2|ITGB2L|ZP3|SASH3|TRP53BP1|SHLD1|KMT5B|FCER1A|IL18RAP|IL12B|CADM1|IFNG|CLEC7A|AP1G1|NSD2|BTK|KMT5C|KIT|TNFSF13|GM42742|IL1B|MALT1|EXOSC6|NLRP3|SHLD3|SLAMF1|KLRC3|CD226|VAV1|MLH1|FADD|NECTIN2|H2-EA|DHX36|PLCG2|IL12A|CLNK|ZBTB1|IL1R1|FZD5|LYPD10|FCGR1|IL18R1|F2RL1|CD81|TICAM1|CRTAM|RSAD2|KLRE1|KLRK1|CD177|CD160|KLRC2|DDX21|POMC|GIMAP5|ARID5A|GATA3|STAP1|CCL2|HSPA8|TREM2|FCER1G|LYPD11|DPP4|MSH2|C3","positive regulation of leukocyte mediated immunity","142","ENR","GO:0002705","1.0","2.2112318748641E-10","GO:0002705","false","GO:0002705"
"11","0.9999910941983536",,"3.28416685370272E-4",,"NCKAP1L|DYSF|PSG20|4932438A13RIK|LBP|ABR|ANXA1|SFTPA1|MARCO|IRF8|XKR9|ABL1|RARA|PPARG|SFTPD|SPON2|PSG23|CNN2|IL15RA|JMJD6|MEGF10|TM9SF4|ARHGAP12|ITGB1|RAB5A|PLD4|CYBA|SH3BP1|RAC1|RAB7B|ARHGAP25|BIN2|P2RX7|TICAM2|AXL|PEAR1|TGFB1|ATG3|PIK3CA|SYT7|CEACAM12|CEACAM11|SIGLECE|CD209B|PIKFYVE|SCARB1|PYCARD|CALR|PSG17|ITGAL|NR1H3|GAS6|CD36|ITGAV|ATG7|FGR|IL2RG|TYRO3|RHOH|BECN1|RAB27A|ATG5|PLSCR1|CSK|IL1B|ICAM5|MYD88|MST1R|VAV1|NCF4|RAB34|TMEM175|RAB14|RAB20|SNX3|RAB39|RAB7|SRPX|MBL2|PLCG2|PTX3|CD300A|LDLR|MBL1|CORO1A|MYO7A|PRKCG|ABCA7|LRP1|PSG22|HMGB1|ELANE|LYAR|APOA1|BC053393|CAMK1D|CD300LF|SIRPA|XKR6|CCR7|PTEN|MERTK|CLCN3|GATA2|TAFA4|RAC2|TLR4|RAB11FIP2|ITGA2|RAPGEF1|CD47|HSPA8|SPG11|THBS1|FCER1G|PSG19|PIP5K1C|DPPA1|PRTN3|IL2RB|KLRH1|TNF|COLEC12|SIRPB1C|IGLL1|TRBC1|TREML4|TRBC2|IGHG2C|IGHG3|4933434E20RIK|CDC42SE1|IGHV5-2|IGHV2-6-8|IGHV7-3|IGHV7-2|ELMO3|IGHV4-1|IGHV16-1|IGHV7-1|IGHV14-4|P2RY6|IGHV7-4|CCR2|IGHV13-2|IGHV3-6|IGHV3-8|IGHV12-3|IGHV6-3|IGHV6-6|IGHV15-2|TXNDC5|IGHV1-18|IGHV1-47|IGHV1-49|ELMO2|IGHV8-12|PSG28|IGHV8-13|TUB|TRDV4|IGLC2|GM5150|GM9733|GM12169|MFGE8|IGHV6-7|IGHV3-1|IGHV1-53|IGHV1-76|XKR5|IGHV1-34|IGHV3-3|IGHV1-36|ABCA1|IGHV1-80|CORO1C|NOD2|IGHV1-61|TULP1|IGHV1-64|IGHV9-2|IGHV1-74|IGHV5-15|IGHV2-3|IGHV6-4|C2|IGHV5-16|NCF2|IGHV1-50|IGHV1-24|POT1B|IGHV9-4|IGHV1-69|ELMO1|IGHV8-6|ITGB3|RAP1GAP|IGHV14-1|IGHV11-1|IGHV1-26|PTPRC|IGHV1-22|SPHK1|IGHV1-42|IGHV1-81|IGHV1-9|IGHV1-54|IGHV1-56|IGHV5-6|SIRPB1B|CEBPE|IGHA|IGHV8-9|IGHV1-82|TYROBP|IGHV1-39|IGHV8-11|GM53012|IGHV1-59|IGHV1-7|ADGRB1|IGHV1-52|IGHV5-9-1|CRYBA1|LEPR|IGHV5-9|FER1L5|IGHV1-12|RAP1A|IGHV5-12|RACK1|IGHV1-4|XKR7|IGHV1-66|IGHV1-16|IGHV2-9-1|TGM2|TREX1|IGHV5-17|IGHV14-2|IGHV1-55|IGHV5-4|IGHV14-3|LEP|IGHV10-3|CDC42SE2|IGHV1-20|ITGB2|SIRPB1A|IGHV1-43|IGHV1-67|IGHV1-58|LMAN2|IGHV1-37|CLN3|IGHV10-1|IGHV1-75|IGHV1-72|IFNG|CLEC7A|IGHV1-62-2|IGHV11-2|CDC42|IGHV1-85|IGHV1-78|IGHV8-4|IGHV6-5|IGHV1-19|IGHV1-77|IGHV9-3|IGHV2-2|IGHV2-5|EIF2AK1|IGHV1-5|IGHV1-71|UNC13D|SLAMF1|AGER|IGHV2-9|HCK|DOCK1|IGHV1-31|IGHV2-6|IGHV1-63|IGHV1-62-3|IGHV9-1|IGHV2-7|PROS1|ALOX15|PSG29|CEACAM14|IGHV8-2|IGHV8-5|IGHV1-11|IGHV5-12-4|IGHV1-15|ANO6|IGHV1-23|IGHV3-4|IGHD|IGHV8-8|TRDC|IGLC1|WASHC5|DNM2|IGLC4|PIP4P2|ANXA3|XKR8|MYH9|APPL2|MYO1G|C4BP|ARL8B|MSR1|AIF1|XKR4|SYK|RHOBTB1|FCGR1|F2RL1|RHOG|PSG18|DOCK2|GSN|IL15|PSG16|APOA2|PTK2|AHSG|PECAM1|ADIPOQ|SOD1|TIMD4|STAP1|CCL2|TREM2|GULP1|SYT11|ANXA11|MYO18A|CEACAM13|APPL1|PSG21|PSG27|PSG25|PSG26|RHOBTB2|MESD|CD302|FCNB|C3|SLC11A1|BCR|TUSC2","phagocytosis","356","ENR","GO:0006909","1.0","8.90580164637068E-6","GO:0006909","false","GO:0006909"
"9","0.9999999999821316",,"3.56308124506098E-9",,"IFI35|POLR3F|CCR1|CACTIN|POLR3C|SLAMF6|LBP|H2-M3|HPX|N4BP1|IRF1|ZBP1|USP18|NLRX1|OAS3|IKBKE|TBK1|DCST1|XCL1|OTOP1|GIMAP3|POLR3B|NLRC5|CARD9|POLR3G|RASGRP1|MAVS|TRIM62|AIM2|MUL1|NLRC4|TLR8|SIN3A|LGALS9|SERPINB1A|FFAR2|TRIM6|OAS1A|OAS1F|IFI205|TOMM70A|IL21|YTHDF2|STING1|OAS1G|OAS1E|PYCARD|MNDAL|LAG3|SOCS1|KLRC1|STAT5A|RBM14|TRIM30A|ZCCHC3|GBP5|LRP8|SPI1|FGR|IRF3|STAT2|DNAJA3|AP1G1|TYRO3|TIRAP|DRD2|PLSCR1|KLRC3|CD226|VAV1|IRGM1|CDC37|FAM3A|IGTP|SERPING1|PLCG2|CLNK|HMGB1|VSIG4|LYAR|TLR9|SREBF1|GFER|TRAFD1|NLRC3|KLRE1|TTLL12|KLRC2|TLR4|DUSP10|YTHDF3|TXK|IFI204|IFI207|PSPC1|NONO|ZNFX1|IFI203|PARP9|IFI209|IFI208|IGF2|IFI214|IFI213|USP15|MED1|EREG|TASL|HSP90AA1|XRCC6|SMPDL3B|MMP12|TKFC|SH2D1A|SH2D1B2|PTPN2|PIK3R6|SERPINB9B|SERPINB9C|TAP2|ARG1|A2M|CLEC2D|CLEC12B|KLRD1|SAMHD1|TAP1|SERPINB9F|PVR|TREM3|SERPINB9|RAET1E|SERPINB9D|SERPINB9G|MATR3|ULBP1|SERPINB9E|HAVCR2|SERPINB9H|NOD2|CNOT7|TRIM12C|TRIM30D|KLRB1B|HMGB2|LAMP1|TRIM5|SLC15A4|AKIRIN2|STAT5B|TYROBP|NFE2L2|CGAS|CRK|TRIM12A|SFPQ|APOE|TREX1|LEP|CEACAM1|IL18RAP|IL12B|CADM1|TNFAIP3|CLEC7A|ARRB2|NCF1|FADD|PARP14|NECTIN2|WNT5A|OAS1D|LSM14A|HEXIM1|CASP8|IRAK3|IL12A|XRCC5|APPL2|RPS19|SYK|RNF135|POLR3D|SUSD4|OAS1C|OAS1H|PRKDC|METTL3|CRTAM|GRN|DHX58|KLRK1|CD160|COCH|GIMAP5|TREM2|ADAR|NMI|IFI206|CD96|HSP90AB1|CLEC4N|APPL1|RIOK3|ISG15|IRF7|PQBP1|CD74|UBE2K|DPP4|IFI202B|IFI211|FCNB|TRIM21|FCNA|ADAM8","regulation of innate immune response","216","ENR","GO:0045088","1.0","1.78683494830324E-11","GO:0045088","false","GO:0045088"
"1","0.9999999921890325",,"6.67527769168825E-7",,"NCKAP1L|SPN|SH2D1B2|LILR4B|IL4I1|LILRB4A|SLAMF1|CLEC4G|IL7R|ABR|SERPINB9B|SERPINB9C|VSIR|TAP2|HFE|ARG1|CLEC2D|CLEC12B|CCR2|KLRD1|TAP1|FOXF1|SERPINB9F|CD300A|CD84|SERPINB9|SMAD7|SERPINB9D|SERPINB9G|SERPINB9E|LGALS9|HAVCR2|FOXJ1|TBX21|C4BP|SERPINB9H|RABGEF1|BCL6|IL20RB|NOD2|SUSD4|KLRB1B|PPP3CB|CD55|PARP3|GFER|DUSP22|THOC1|IFNB1|NDFIP1|PTPRC|KLRE1|BST2|GM49339|HMOX1|CRK|CR1L|CD96|CD46|PTPN6|FOXP3|SPI1|IGF2|CEACAM1|CX3CR1|IL13RA2|ARRB2|BCR","negative regulation of leukocyte mediated immunity","68","ENR","GO:0002704","1.0","7.81096758128454E-9","GO:0002704","false","GO:0002704"
