"__mclCluster","EnrichmentMap::Data Set","EnrichmentMap::Overlap_genes","EnrichmentMap::Overlap_size","EnrichmentMap::similarity_coefficient","interaction","name","selected","shared interaction","shared name"
,"Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|CRK|HAVCR2|STAT5B|SERPINB9B|SERPINB9C|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|CLEC2D|CLEC12B|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|TAP1|CD160|SERPINB9F|GIMAP3|PVR|GFER|GIMAP5|SERPINB9|PIK3R6|IGF2|KLRE1|KLRC2|RAET1E|SERPINB9D|SERPINB9G|LEP|ARRB2|NECTIN2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B|ULBP1","53","0.5665829145728644","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002449","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002449"
,"Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|CRK|HAVCR2|STAT5B|SERPINB9B|SERPINB9C|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|CLEC2D|CLEC12B|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|TAP1|CD160|SERPINB9F|GIMAP3|PVR|GFER|GIMAP5|SERPINB9|PIK3R6|IGF2|KLRE1|KLRC2|RAET1E|SERPINB9D|SERPINB9G|LEP|ARRB2|NECTIN2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B|ULBP1","53","0.75","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0031341","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0031341"
"0","Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|CRK|HAVCR2|STAT5B|SERPINB9B|SERPINB9C|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|CLEC2D|CLEC12B|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|TAP1|CD160|SERPINB9F|GIMAP3|PVR|GFER|GIMAP5|SERPINB9|PIK3R6|IGF2|KLRE1|KLRC2|RAET1E|SERPINB9D|SERPINB9G|LEP|ARRB2|NECTIN2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B|ULBP1","53","0.6226851851851852","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0045088","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0045088"
"0","Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|CRK|HAVCR2|STAT5B|SERPINB9B|SERPINB9C|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|CLEC2D|CLEC12B|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|TAP1|CD160|SERPINB9F|GIMAP3|PVR|GFER|GIMAP5|SERPINB9|PIK3R6|IGF2|KLRE1|KLRC2|RAET1E|SERPINB9D|SERPINB9G|LEP|ARRB2|NECTIN2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B|ULBP1","53","0.545144804088586","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0031347","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0031347"
,"Tumor_late_early","STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|STAT5B|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|CD160|GIMAP3|PVR|GIMAP5|KLRE1|KLRC2|RAET1E|NECTIN2|SH2D1B2|ULBP1","32","0.41699470612189493","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002708","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002708"
,"Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|CRK|HAVCR2|STAT5B|SERPINB9B|SERPINB9C|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|CLEC2D|CLEC12B|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|TAP1|CD160|SERPINB9F|GIMAP3|PVR|GFER|GIMAP5|SERPINB9|PIK3R6|IGF2|KLRE1|KLRC2|RAET1E|SERPINB9D|SERPINB9G|LEP|ARRB2|NECTIN2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B|ULBP1","53","0.6318407960199005","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0001906","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0001906"
,"Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|CRK|HAVCR2|STAT5B|SERPINB9B|SERPINB9C|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|CLEC2D|CLEC12B|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|TAP1|CD160|SERPINB9F|GIMAP3|PVR|GFER|GIMAP5|SERPINB9|PIK3R6|IGF2|KLRE1|KLRC2|RAET1E|SERPINB9D|SERPINB9G|LEP|ARRB2|NECTIN2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B|ULBP1","53","0.5523715415019763","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002443","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002443"
,"Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|CRK|HAVCR2|STAT5B|SERPINB9B|SERPINB9C|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|CLEC2D|CLEC12B|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|TAP1|CD160|SERPINB9F|GIMAP3|PVR|GFER|GIMAP5|SERPINB9|PIK3R6|IGF2|KLRE1|KLRC2|RAET1E|SERPINB9D|SERPINB9G|LEP|ARRB2|NECTIN2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B|ULBP1","53","0.6472222222222223","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002706","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002706"
"0","Tumor_late_early","LGALS9|CRK|HAVCR2|SERPINB9B|SERPINB9C|TAP2|CLEC2D|CLEC12B|KLRD1|TAP1|SERPINB9F|GFER|SERPINB9|IGF2|KLRE1|SERPINB9D|SERPINB9G|ARRB2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B","23","0.6921296296296297","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002716","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002716"
,"Tumor_late_early","STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|STAT5B|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|CD160|GIMAP3|PVR|GIMAP5|KLRE1|KLRC2|RAET1E|NECTIN2|SH2D1B2|ULBP1","32","0.40004630165528415","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002705","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002705"
,"Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|CRK|HAVCR2|STAT5B|SERPINB9B|SERPINB9C|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|CLEC2D|CLEC12B|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|TAP1|CD160|SERPINB9F|GIMAP3|PVR|GFER|GIMAP5|SERPINB9|PIK3R6|IGF2|KLRE1|KLRC2|RAET1E|SERPINB9D|SERPINB9G|LEP|ARRB2|NECTIN2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B|ULBP1","53","0.6077235772357723","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002703","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0002703"
,"Tumor_late_early","LGALS9|STAT5A|IL12B|SH2D1A|SLAMF6|H2-M3|CRK|HAVCR2|STAT5B|SERPINB9B|SERPINB9C|TAP2|IL18RAP|RASGRP1|IL21|IL12A|LAG3|KLRK1|CLEC2D|CLEC12B|KLRD1|KLRC1|LAMP1|AP1G1|CRTAM|CADM1|KLRC3|CD226|VAV1|TAP1|CD160|SERPINB9F|GIMAP3|PVR|GFER|GIMAP5|SERPINB9|PIK3R6|IGF2|KLRE1|KLRC2|RAET1E|SERPINB9D|SERPINB9G|LEP|ARRB2|NECTIN2|SERPINB9E|SERPINB9H|SH2D1B2|CEACAM1|KLRB1B|ULBP1","53","0.8117647058823529","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0001910","false","Geneset_Overlap","GO:0042269 (Geneset_Overlap_Tumor_late_early) GO:0001910"
,"Tumor_late_early","H2-OA|H2-EA|H2-AA|H2-DMB2|H2-DMA|H2-OB|B2M|H2-EB2|H2-AB1","9","0.5965909090909092","Geneset_Overlap","GO:0002495 (Geneset_Overlap_Tumor_late_early) GO:0002501","false","Geneset_Overlap","GO:0002495 (Geneset_Overlap_Tumor_late_early) GO:0002501"
"0","Tumor_late_early","TREM2|H2-OA|CD74|MARCHF8|TRAF6|PYCARD|H2-EA|H2-AA|H2-DMB2|H2-DMA|CTSS|H2-OB|FCER1G|H2-EB1|B2M|H2-EB2|H2-AB1|H2-DMB1","18","0.4254545454545455","Geneset_Overlap","GO:0002250 (Geneset_Overlap_Tumor_late_early) GO:0002495","false","Geneset_Overlap","GO:0002250 (Geneset_Overlap_Tumor_late_early) GO:0002495"
