"","x"
"314","Ttll4"
"315","Wnt10a"
"316","Nhej1"
"317","Slc23a3"
"318","Cnppd1"
"319","Retreg2"
"320","Zfand2b"
"321","Abcb6"
"322","Atg9a"
"323","Ankzf1"
"324","Glb1l"
"325","Stk16"
"326","Tuba4a"
"327","A630095N17Rik"
"328","Dnajb2"
"329","Ptprn"
"330","Dnpep"
"331","Gmppa"
"332","Chpf"
"333","Obsl1"
"334","Tmem198"
"335","Inha"
"336","Stk11ip"
"337","Slc4a3"
"338","Epha4"
"339","Sgpp2"
"340","Farsb"
"341","BC035947"
"342","Mogat1"
"343","Acsl3"
"344","Utp14b"
"345","Ap1s3"
"346","Wdfy1"
"347","Mrpl44"
"348","Serpine2"
"349","Cul3"
"350","Dock10"
"351","Irs1"
"352","Gm9747"
"353","Rhbdd1"
"354","Col4a4"
"355","C430014B12Rik"
"356","Mff"
"357","Agfg1"
"358","Ccl20"
"359","Pid1"
"360","Trip12"
"361","Fbxo36"
"362","C130026I21Rik"
"363","A530040E14Rik"
"364","Sp110"
"365","Sp140"
"366","Gm17017"
"367","Sp100"
"368","A630001G21Rik"
"369","Cab39"
"370","Itm2c"
"371","2810459M11Rik"
"372","Psmd1"
"373","Htr2b"
"374","Armc9"
"375","B3gnt7"
"376","Ncl"
"377","C130036L24Rik"
"378","Ptma"
"379","Pde6d"
"380","Cops7b"
"381","Nppc"
"382","Dis3l2"
"383","Gm29055"
"384","Gm28375"
"385","Eif4e2"
"386","Efhd1"
"387","Gigyf2"
"388","Kcnj13"
"389","Snorc"
"390","Ngef"
"391","Neu2"
"392","Inpp5d"
"393","Atg16l1"
"394","Sag"
"395","Dgkd"
"396","Gm19582"
"397","Usp40"
"398","Gm20528"
"399","Ugt1a6b"
"400","Dnajb3"
"401","Hjurp"
"402","Arl4c"
"403","Gm29337"
"404","Sh3bp4"
"405","Agap1"
"406","Gm28499"
"407","4933400F21Rik"
"408","Ackr3"
"409","Cops8"
"410","Col6a3"
"411","Mlph"
"412","Rab17"
"413","Lrrfip1"
"414","Rbm44"
"415","Ramp1"
"416","Ube2f"
"417","Scly"
"418","Gm17090"
"419","Espnl"
"420","Erfe"
"421","Ilkap"
"422","Hes6"
"423","Per2"
"424","Traf3ip1"
"425","Asb1"
"426","Hdac4"
"427","Ndufa10"
"428","Cops9"
"429","Gpc1"
"430","Dusp28"
"431","5033417F24Rik"
"432","Rnpepl1"
"433","9430060I03Rik"
"434","Capn10"
"435","Gpr35"
"436","Mab21l4"
"437","Sned1"
"438","Mterf4"
"439","Gm28535"
"440","Pask"
"441","Ppp1r7"
"442","Ano7"
"443","Hdlbp"
"444","Sept2"
"445","Farp2"
"446","Stk25"
"447","Bok"
"448","Thap4"
"449","Gm10550"
"450","Atg4b"
"451","Dtymk"
"452","Ing5"
"453","D2hgdh"
"454","Gal3st2b"
"455","Pdcd1"
"456","Fam174a"
"457","St8sia4"
"458","Panct2"
"459","Gm28901"
"460","D1Ertd622e"
"461","Ppip5k2"
"462","Gin1"
"463","Pam"
"464","B230216N24Rik"
"465","1810006J02Rik"
"466","Slco6d1"
"467","Gm7967"
"468","Cntnap5b"
"469","Cdh20"
"470","Rnf152"
"471","Gm17634"
"472","Gm28403"
"473","Pign"
"474","Relch"
"475","Tnfrsf11a"
"476","Gm7160"
"477","Zcchc2"
"478","Phlpp1"
"479","Bcl2"
"480","D630008O14Rik"
"481","Kdsr"
"482","Vps4b"
"483","Serpinb5"
"484","Serpinb11"
"485","Serpinb2"
"486","Serpinb8"
"487","Cdh19"
"488","Dsel"
"489","9330185C12Rik"
"490","B020011L13Rik"
"491","Tsn"
"492","Nifk"
"493","Clasp1"
"494","2900060B14Rik"
"495","Tfcp2l1"
"496","Gli2"
"497","Gm29455"
"498","Inhbb"
"499","Ralb"
"500","Gm27184"
"501","Tmem185b"
"502","3830432H09Rik"
"503","Epb41l5"
"504","Ptpn4"
"505","Tmem177"
"506","Tmem37"
"507","Dbi"
"508","3110009E18Rik"
"509","Steap3"
"510","Insig2"
"511","Ccdc93"
"512","Ddx18"
"513","Dpp10"
"514","Actr3"
"515","Slc35f5"
"516","Gpr39"
"517","Lypd1"
"518","Nckap5"
"519","Mgat5"
"520","Tmem163"
"521","2900009J06Rik"
"522","Ccnt2"
"523","Rab3gap1"
"524","Zranb3"
"525","R3hdm1"
"526","Ubxn4"
"527","Mcm6"
"528","Dars"
"529","Cxcr4"
"530","Gm15674"
"531","Gm15675"
"532","Cd55"
"533","Gm16083"
"534","Pfkfb2"
"535","Yod1"
"536","AA986860"
"537","Gm15848"
"538","Pigr"
"539","Fcmr"
"540","Il24"
"541","Mapkapk2"
"542","Dyrk3"
"543","Eif2d"
"544","Rassf5"
"545","Ikbke"
"546","Srgap2"
"547","Gm29488"
"548","Fam72a"
"549","Ctse"
"550","Rab7b"
"551","Slc26a9"
"552","Pm20d1"
"553","Slc41a1"
"554","Rab29"
"555","Nucks1"
"556","Slc45a3"
"557","Elk4"
"558","Mfsd4a"
"559","Cdk18"
"560","Lemd1"
"561","Gm29695"
"562","Klhdc8a"
"563","Nuak2"
"564","Tmcc2"
"565","Dstyk"
"566","6030442K20Rik"
"567","Rbbp5"
"568","Tmem81"
"569","Lrrn2"
"570","Mdm4"
"571","Pik3c2b"
"572","Ppp1r15b"
"573","Plekha6"
"574","Gm19461"
"575","Etnk2"
"576","Sox13"
"577","Snrpe"
"578","Zc3h11a"
"579","Gm38394"
"580","Lax1"
"581","Atp2b4"
"582","Gm15851"
"583","Prelp"
"584","Btg2"
"585","Chit1"
"586","Chil1"
"587","Adora1"
"588","Ppfia4"
"589","Tmem183a"
"590","Cyb5r1"
"591","Adipor1"
"592","Klhl12"
"593","Rabif"
"594","Kdm5b"
"595","Syt2"
"596","Ppp1r12b"
"597","Gm28892"
"598","Ube2t"
"599","Lgr6"
"600","Ptpn7"
"601","Arl8a"
"602","Gm15445"
"603","Gm26642"
"604","Elf3"
"605","Rnpep"
"606","Timm17a"
"607","Lmod1"
"608","Shisa4"
"609","Ipo9"
"610","Nav1"
"611","Gm4793"
"612","Csrp1"
"613","Phlda3"
"614","Tnni1"
"615","Lad1"
"616","Tnnt2"
"617","Pkp1"
"618","Tmem9"
"619","Kif21b"
"620","Mroh3"
"621","Inava"
"622","Gm26568"
"623","Gm26781"
"624","Camsap2"
"625","9230116N13Rik"
"626","Ddx59"
"627","Kif14"
"628","Zfp281"
"629","Gm19705"
"630","Platr22"
"631","Gm4258"
"632","Gm26936"
"633","A430106G13Rik"
"634","Ptprc"
"635","Nek7"
"636","Gm28501"
"637","2310009B15Rik"
"638","Dennd1b"
"639","Zbtb41"
"640","Aspm"
"641","Cfh"
"642","Cdc73"
"643","B3galt2"
"644","Glrx2"
"645","Ro60"
"646","Uchl5"
"647","Gm29170"
"648","Rgs2"
"649","Rgs1"
"650","Brinp3"
"651","Pla2g4a"
"652","Ptgs2os"
"653","Ptgs2"
"654","Odr4"
"655","Tpr"
"656","Prg4"
"657","Hmcn1"
"658","Gm20631"
"659","Gm10138"
"660","Ivns1abp"
"661","Swt1"
"662","Trmt1l"
"663","Rnf2"
"664","Fam129a"
"665","2810414N06Rik"
"666","Edem3"
"667","1700025G04Rik"
"668","Gm28610"
"669","Tsen15"
"670","Colgalt2"
"671","Rgl1"
"672","Arpc5"
"673","Ncf2"
"674","Smg7"
"675","Gm28791"
"676","Nmnat2"
"677","Lamc2"
"678","Lamc1"
"679","E330020D12Rik"
"680","Shcbp1l"
"681","Dhx9"
"682","Npl"
"683","Rgs8"
"684","C230024C17Rik"
"685","Rgs16"
"686","Gm28513"
"687","Rnasel"
"688","Teddm2"
"689","Glul"
"690","A830008E24Rik"
"691","Gm29282"
"692","Gm9530"
"693","Ier5"
"694","Mr1"
"695","Stx6"
"696","BC034090"
"697","Xpr1"
"698","Acbd6"
"699","Qsox1"
"700","Gm37571"
"701","Cep350"
"702","Tor1aip1"
"703","Tor1aip2"
"704","Gm2000"
"705","Soat1"
"706","Abl2"
"707","Tor3a"
"708","Fam20b"
"709","Ralgps2"
"710","Rasal2"
"711","Cryzl2"
"712","Sec16b"
"713","Cop1"
"714","4930523C07Rik"
"715","Tnn"
"716","Mrps14"
"717","Cacybp"
"718","Rabgap1l"
"719","Gm36975"
"720","Gm37529"
"721","Rc3h1"
"722","Serpinc1"
"723","Zbtb37"
