"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Direction"
"Syna",5.26128626936525,-1.58147328917842,0.966860654355886,-1.63567860792927,0.101906868896906,0.143608459364665,"NONE"
"Synb",29.2153792625326,3.94112768981697,0.564687820215561,6.97930351731777,2.96646981920665e-12,1.39503690156053e-11,"UP"
"Fv1",150.853695423432,-1.53577013447696,0.189852176366994,-8.08929433344097,6.00113932796058e-16,3.57544766939065e-15,"DOWN"
"Peg10",138.545768154523,8.73014821979673,1.0347859019301,8.43667100944564,3.26503825806211e-17,2.08255649046318e-16,"UP"
