"__mclCluster","EnrichmentMap::Colouring (Tumor_late_early)","EnrichmentMap::ES (Tumor_late_early)","EnrichmentMap::fdr_qvalue (Tumor_late_early)","EnrichmentMap::fwer_qvalue (Tumor_late_early)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Tumor_late_early)","EnrichmentMap::pvalue (Tumor_late_early)","name","selected","shared name"
"7","-0.9998414347035361",,"0.00274846513870631",,"CALCRL|TNFAIP8L2|ADCYAP1|CCR1|RNF125|NRP1|CACTIN|ST6GAL1|GPATCH3|SEMA4C|EPHA4|ABR|USP18|NLRX1|LTF|ENPP3|OAS3|DCST1|MAPKBP1|OTOP1|ISL1|NLRC5|APH1B|PPARG|WNT3|FABP7|FOXF1|SLC6A3|GRID2|MUL1|THBD|NPLOC4|CORO1B|PSG23|ITCH|HAMP|PSMB4|SERPINF1|SLIT1|BBS4|ZFP36|UCN|SEMA4G|NFKBIL1|WFDC1|FGA|LGALS9|RNF26|RABGEF1|PDGFA|NR1H4|MMP28|TRIM38|HGF|ALOX12|LPCAT3|OAS1A|CXCL13|OAS1F|IL2RA|PPARD|NPFF|ILRUN|PTGER4|SERPINE2|NPY|SPX|YTHDF2|PPM1B|ABCC8|TNFRSF1B|GM49380|SEMA6D|SIGLECE|F2|OAS1G|OAS1E|SEMA4A|MACIR|SIGLECG|CHD8|SELENOS|NOTCH1|NR1H3|PADI2|WNT3A|GRIN1|MUC16|SEMA3C|VPS35|GIT1|BACE1|CX3CL1|STAT2|DNAJA3|MDK|MKKS|TYRO3|PGLYRP1|UBASH3B|SPN|GRIN3A|DRD2|HTRA1|NLRP3|TRIB1|PSMA1|RYK|FAM3A|MIF|ANXA5|LRFN5|FGB|FGG|RIN3|ARG2|SERPING1|SOCS5|SEMA4B|LDLR|KRT1|NPY5R|TMPRSS6|FGL2|CASK|CACNB3|KLKB1|INPP5F|ASH1L|NLGN3|PROC|PLXNA3|AOAH|VSIG4|IL20RB|LYAR|CTLA2A|FGF2|APOA1|NENF|MYOZ1|CPB2|GFER|NR1D1|PTEN|C1QTNF12|TRAFD1|NLRC3|CCK|GSTP2|KLRE1|NT5E|SERPINF2|GPR18|TTLL12|SEMA7A|SEMA4D|NLRP6|FEM1AL|SIRT2|NR1D2|MIR7578|DUSP10|YTHDF3|GATA3|THBS1|SEMA3A|PPARA|IFI204|IFI207|IL10|GPR17|DBN1|ACP5|SEMA3F|CNR2|DRD3|CLDN19|MVK|DVL1|ADA|PDGFRA|IGF2|PCBP2|USP15|ADORA1|PTGIS|GPS2|SEC14L1|SH2B3|CDH5|C1QBP|SMPDL3B|FEM1A|MMP12|TNF|TKFC|PHLDB2|SH2D1B2|PTPN2|ADRB2|SERPINB9B|SERPINB9C|TSPAN6|KNG1|SEMA6C|CD24A|TAP2|PYY|GJA1|ARG1|A2M|CLEC2D|IGF1|CLEC12B|GHSR|KLRD1|SAMHD1|TAP1|SERPINB9F|CD9|SERPINB9|SEMA3D|SERPINB9D|SERPINB9G|ROBO2|CHRNA7|KNG2|NBL1|GPER1|SERPINB9E|FFAR4|HAVCR2|SOCS3|IL4|SERPINB9H|SLPI|NOD2|TNFAIP6|CNOT7|RTN4R|ACOD1|KLRB1B|RTN4RL1|C1QTNF3|NDFIP1|CXCL17|ANGPT2|GSTP1|IL2|EPPK1|SLIT2|NFKB1|ADAMTS18|GCG|CRK|BBS2|ABAT|MFHAS1|CD109|GP1BA|CCN3|APOE|TREX1|FOXP3|DUSP3|SEMA5B|APOH|LEP|CEACAM1|GPR31B|C5AR2|PRDX2|PLG|PDGFB|MIR147|NLRP12|IL12B|CERS2|TNFAIP3|ARRB2|SEMA4F|SEMA6B|CYP19A1|CD34|FNDC4|METRNL|TFPI|PLAU|C1QTNF1|HRG|PARP14|WNT5A|PROS1|CLASP1|RB1|OAS1D|GPX1|SEMA6A|CTNNA2|D130043K22RIK|SEMA3E|HC|IRAK3|APH1C|KLK8|PTPRS|SMAD3|AJAP1|IL22RA2|TNR|GHRL|MUC19|MKRN2|TNFRSF1A|RPS19|LRIG2|CLDN3|F11|TRAF3IP1|RGMA|IL13|ETS1|TSPAN8|AIF1|ANXA2|RORA|CARTPT|HMGCR|SUSD4|OAS1C|PRKG1|OAS1H|ADORA2A|PRKCD|METTL3|PLA2G10|PBK|UFD1|KREMEN1|SHARPIN|GRN|IL22|GREM1|DHX58|SERPINE1|KLRK1|ADIPOQ|SOD1|ROBO1|TARBP2|ALOX5|STAP1|CCL2|TREM2|ADAR|TAFA3|NMI|CST7|MEFV|IFI206|SPINK5|SYT11|CD96|CCL12|CD200R1|NRXN1|SEMA3G|RIOK3|OTULIN|ISG15|CD276|DPP4|CX3CR1|SEMA5A|IFI202B|TRIM21|WNT4|TAFA5|F12|DUSP1|NUCB2|BCR|ADTRP","negative regulation of response to external stimulus","384","ENR","GO:0032102","-1.0","1.58565296463826E-4","GO:0032102","false","GO:0032102"
"6","-0.9999996684027198",,"8.9331508263536E-6",,"MMP12|CD300LF|TRIM6|CXCR4|HPX|TICAM2|CPNE1|PAFAH1B1|ZBP1|IRGM1|AXL|CSF1|FADD|IKBKE|TBK1|PARP14|WNT5A|CASP1|LSM14A|NLRC5|IGTP|TRAF2|ADAM17|TXK|TREM2|HIF1A|MAVS|TRIM44|IL7|C1QTNF4|RIPK2|CREBRF|TSLP|EDN1|PARP9|GFI1|IRF7|CD74|UBE2K|GAS6|TRIM32|IL1R1|IRF3|MED1|PRKN|LAPTM5|RIPK1","positive regulation of cytokine-mediated signaling pathway","47","ENR","GO:0001961","-1.0","3.315972802269E-7","GO:0001961","false","GO:0001961"
"6","-0.9999994417871859",,"1.43467109451089E-5",,"PIAS4|IL6|CACTIN|MMP12|XIAP|PTPN2|CCDC3|USP18|CAV1|TRAIP|OTUD4|OAS3|PARP14|DCST1|PALM3|OTOP1|OAS1D|NLRC5|ARG1|IL1RN|SAMHD1|IRAK3|MUL1|CCL5|RABGEF1|CNOT7|NR1H4|RFFL|ECM1|APOA1|OAS1C|F2RL1|OAS1H|OAS1A|OAS1F|METTL3|NOL3|PTPRC|TTLL12|IL6ST|SLIT2|YTHDF2|SLIT3|PELI3|ADIPOQ|BIRC7|ROBO1|YTHDF3|OAS1G|PPP2CB|OAS1E|PTPRF|STAP1|TREM2|ADAR|TREX1|ISG15|PADI2|SIGIRR|GAS6|IL1R2|GPS2|STAT2|SH2B3|DNAJA3|IL36RN","negative regulation of cytokine-mediated signaling pathway","66","ENR","GO:0001960","-1.0","5.5821281405388E-7","GO:0001960","false","GO:0001960"
"9","-0.9999973134432899",,"5.6671139658376E-5",,"IFITM2|IFNL3|TNF|CLEC4G|ZC3HAV1|OASL1|LY6E|TMPRSS2|N4BP1|LTF|OAS3|IFITM7|OAS2|MIR24-1|TRIM10|KPNA2|TRIM14|MID2|TRIM25|STAU1|MAVS|TRIM62|RNASEL|PROX1|GM10184|P4HB|DDX3X|TRIM30B|PARP10|SLPI|TRIM11|CNOT7|TRIM15|TRIM12C|TRIM38|D1PAS1|TMEM39A|TRIM30D|TRIM6|TASOR|PDE12|OAS1A|LARP1|OAS1F|SRPK1|TRIM5|TRIM30C|ISG20|MIR93|PPID|AXL|TRIM34B|TRIML2|FKBP6|BST2|MX2|TOP2A|HMGA2|OAS1G|OAS1E|BCL2|TRIM26|TRIM12A|KPNA6|TRIM8|TRIM30A|SRPK2|VPS37B|PPIA|NOTCH1|MRE11A|RESF1|MORC2A|AICDA|INPP5K|MPHOSPH8|TYRO3|TRIM28|OASL2|HS3ST5|GM7879|APOBEC3|PLSCR1|NR5A2|PPIH|MIR24-2|NECTIN2|OAS1D|SNX3|PTX3|TSG101|TRIM59|CCL5|FMR1|NBN|APCS|TMPRSS4|ILF3|SHFL|RAD23A|OAS1C|LAMP3|OAS1H|FAM111A|IFNB1|PKN2|ADARB1|MIR378A|GSN|BANF1|RSAD2|HACD3|TRIM27|VAPB|IFITM1|IFITM3|TARBP2|GM45717|CD4|BSG|ADAR|PPARA|IFI204|IFI206|CH25H|IFI207|DDB1|CIITA|EIF2AK2|PPIE|ISG15|TRIM65|ZNFX1|TOP2B|CD74|MORC2B|ZFP809|FCNB|IFIH1|TRIM21|TRIM31|LGALS1|TRIML1|IFITM6|VPS4A","regulation of viral life cycle","145","ENR","GO:1903900","-1.0","2.6865567101019E-6","GO:1903900","false","GO:1903900"
"4","-1.0",,"1.04661595456977E-17",,"IL6|POLR3F|RNF125|POLR3C|CDK6|GPATCH3|IRF5|ZC3HAV1|DDIT4|ELMOD2|IRF1|ZBP1|NLRX1|OAS3|IKBKE|IFITM7|TBK1|OAS2|TLR2|POLR3B|NLRC5|CARD9|POLR3G|TRIM25|SPON2|MAVS|AIM2|MUL1|CD86|RNASEL|NPLOC4|IFNAR1|ITCH|DDX17|DDX58|TLR8|RNF216|SIN3A|PTPN22|DDX3X|DTX3L|SERINC3|LGALS9|GPAM|RNF26|AKAP1|ATAD3A|IL23R|IL23A|TRIM11|TRIM15|TRIM38|D1PAS1|OPRK1|IFI27L2B|TRIM6|SLFN9|OAS1A|OAS1F|SERINC5|RNASE6|TICAM2|TOMM70A|POLR3H|IL21|ILRUN|TGFB1|IFNAR2|GSDME|BST2|NLRP9B|PPM1B|MX2|STING1|ITGB6|GM49380|OAS1G|OAS1E|NLRP1A|NLRP1B|DCLK1|PYCARD|CREBZF|BAX|TTC4|ZCCHC3|CRCP|LGALS8|PHB2|DDX1|ATG7|APOBEC1|AUP1|AICDA|IRF3|NT5C3|TSPAN32|STAT2|CD37|BNIP3|BECN1|POU2AF1|OASL2|SPN|BCL3|PLSCR1|IL1B|HTRA1|NLRP3|MYD88|POLR3E|MST1R|IRGM1|SRC|BNIP3L|IRF2|TLR13|DHX36|IGTP|BCL2L1|IFIT1|SLFN8|NPC2|CCL5|FGL2|EXT1|SETD2|IFI27|GTF2F1|ACTA2|SELENOK|NDUFAF4|IFNK|SMPD1|IL27|KCNJ8|TLR9|POLR3K|IFNE|ILF3|SHFL|VWCE|TICAM1|IFNB1|ABCC9|RTP4|CCDC130|PUM1|WDFY4|RRP1B|IFIT2|CD8A|GATA3|TPT1|IFI204|IFI207|IFIT3B|STMN1|GBF1|GLI2|ZNFX1|IFI27L2A|PARP9|AP1S1|IFNA13|CLPB|PCBP2|USP15|PUM2|SEC14L1|ZC3H12A|IFITM6|GBP4|HSP90AA1|C1QBP|IFNA4|IFITM2|GM13288|IFNL3|MMP12|TNF|TKFC|TLR7|IFNA12|DDX60|OASL1|IL33|TREML4|IFIT1BL2|TSPAN6|ZMPSTE24|ARF1|SAMHD1|EIF2AK4|PSMA2|ITGB8|IFNA16|BATF3|MAPK11|IFIT3|ERCC6|ZDHHC1|IL4|ZDHHC11|TBX21|ARMC5|AGBL5|MAPK14|ATF2|CNOT7|CD40|APOB|SAP30BP|AGBL4|NCBP3|GM13290|TRIM5|EXOSC5|RPS15A|ISG20|PTPRC|TNFSF4|EXOSC4|GM13271|GM13287|NFKB1|HMGA2|GM13285|MX1|CXCL9|TLR3|ABCF3|PML|BCL2|CGAS|TRIM12A|HIF1A|CXCL10|IFNA9|IFNA1|TREX1|CCL19|FOXP3|RIPK3|OAS1B|CHUK|IFNA14|TGTP2|ODC1|TGTP1|IFNA15|IL12B|IFNG|HSPB1|TAGAP|IFIT1BL1|TRIM52|CD207|CFL1|HYAL2|APOBEC3|MLKL|URI1|CYP1A1|MARCHF2|MOV10|UNC13D|GM13289|GM13272|FADD|IFNZ|GM13279|GM13275|GM13276|OAS1D|LSM14A|IFNAB|GM13277|GM13283|IFNA11|CCT5|GM13278|HNRNPUL1|NOP53|STAT1|IVNS1ABP|IRAK3|IL12A|SMAD3|HYAL1|FMR1|FV1|PMAIP1|IFNA2|ITGAX|MAP3K14|TRAF3IP2|ZMYND11|TRAF3IP1|TRAF3|RNF135|POLR3D|OAS1C|DDX41|F2RL1|KLRA8|IFNA5|OAS1H|IFNA7|PLA2G10|IFNA6|UFD1|RSAD2|IL15|PRF1|CXADR|DHX58|G3BP1|DDX21|DUOX2|IFITM1|IFNGR1|IFITM3|PIM2|TARBP2|GM45717|IFNGR2|IFNL2|IFNLR1|ADAR|NMI|XPR1|IFI206|EIF2AK2|TRIM44|HYAL3|IL12RB1|EEF1G|RIOK3|ISG15|CLU|IL17RA|IRF7|PQBP1|PHB|IFIH1|SKP2|POU2F2|ANKRD17|LCN2|PENK","response to virus","351","ENR","GO:0009615","-1.0","2.34037556925262E-20","GO:0009615","false","GO:0009615"
"9","-0.9999998563877637",,"4.22522316492095E-6",,"IFITM2|OASL2|GM7879|IFNL3|APOBEC3|TNF|PLSCR1|NR5A2|PPIH|ZC3HAV1|OASL1|MIR24-2|N4BP1|LTF|OAS3|IFITM7|OAS2|MIR24-1|OAS1D|STAU1|MAVS|RNASEL|PROX1|CCL5|DDX3X|PARP10|SLPI|CNOT7|TRIM38|D1PAS1|ILF3|SHFL|TMEM39A|RAD23A|OAS1C|OAS1H|TRIM6|FAM111A|TASOR|PDE12|OAS1A|LARP1|OAS1F|IFNB1|PKN2|SRPK1|ADARB1|MIR378A|BANF1|RSAD2|ISG20|MIR93|PPID|HACD3|FKBP6|BST2|VAPB|MX2|TOP2A|HMGA2|IFITM1|IFITM3|OAS1G|TARBP2|OAS1E|GM45717|BCL2|ADAR|PPARA|IFI204|IFI206|IFI207|DDB1|EIF2AK2|PPIE|SRPK2|ISG15|PPIA|NOTCH1|ZNFX1|TOP2B|RESF1|MORC2A|MORC2B|AICDA|ZFP809|IFIH1|INPP5K|MPHOSPH8|IFITM6|TRIM28","regulation of viral genome replication","91","ENR","GO:0045069","-1.0","1.43612236374773E-7","GO:0045069","false","GO:0045069"
"6","-0.9991165439328166",,"0.0129961037251463",,"MAVS|MMP12|TRIM6|ZBP1|IRF7|UBE2K|FADD|IKBKE|TBK1|WNT5A|IRF3|LSM14A|NLRC5","positive regulation of type I interferon-mediated signaling pathway","13","ENR","GO:0060340","-1.0","8.83456067183466E-4","GO:0060340","false","GO:0060340"
"8","-0.9988881483297646",,"0.0159365406067083",,"TRPV4|SYK|OAS1C|OAS1H|TWIST1|OAS1A|IL1B|OAS1F|AGER|MCOLN2|OAS3|HMGB1|SELENOK|ADIPOQ|OAS1D|OAS1G|OAS1E|CLEC7A|NOD2","positive regulation of monocyte chemotactic protein-1 production","19","ENR","GO:0071639","-1.0","0.00111185167023546","GO:0071639","false","GO:0071639"
"4","-0.9999990487909977",,"2.33725640564895E-5",,"POLR3F|RNF125|CACTIN|POLR3C|MMP12|GAPDH|TLR7|GPATCH3|IRF5|ZC3HAV1|MYD88|IRF1|NLRX1|TRAIP|IRF8|OAS3|TBK1|OAS2|OAS1D|POLR3B|DHX36|DHX9|POLR3G|STAT1|PLCG2|MAVS|PTPN11|NPLOC4|IFNAR1|PTPRS|DDX58|TLR8|RNF216|PTPN22|DDX3X|SETD2|HMGB1|RNF26|HAVCR2|TRAF3IP1|TRAF3|HSPD1|TLR9|TRIM15|SYK|TRIM38|RNF135|D1PAS1|CD14|POLR3D|OAS1C|TICAM1|OAS1H|SIRPA|OAS1A|OAS1F|HMGB2|UFD1|POLA1|TOMM70A|NLRC3|ILRUN|RELB|DHX58|PPM1B|G3BP1|STING1|REL|GM49380|TLR3|TLR4|OAS1G|OAS1E|CGAS|PYCARD|NMI|DHX33|ZCCHC3|YY1|FLOT1|ZBTB20|TREX1|RIOK3|ISG15|POLR3A|IRF7|PQBP1|IRAK1|CHUK|IRF3|IFIH1|ATG9A|GBP4|HSP90AA1","regulation of type I interferon production","94","ENR","GO:0032479","-1.0","9.51209002298992E-7","GO:0032479","false","GO:0032479"
"8","-0.9967439955920878",,"0.042083386451397",,"SYK|OAS1C|OAS1H|TWIST1|OAS1A|C1QTNF3|IL1B|OAS1F|AGER|GSTP2|GSTP1|MCOLN2|OAS3|CD24A|ADIPOQ|OAS1D|OAS1G|OAS1E|ERBIN|SOCS5|TRPV4|APOD|HMGB1|SELENOK|CLEC7A|NOD2|NR1H4","monocyte chemotactic protein-1 production","27","ENR","GO:0071605","-1.0","0.0032560044079122","GO:0071605","false","GO:0071605"
"1","-0.9999999999917069",,"7.13212773244184E-10",,"PVR|IL12A|MR1|CYRIB|H2-M3|P2RX7|STX7|PTPRC|B2M|H2-K1|FADD|NECTIN2|XCL1|H2-T23|TAP2|H2-EA|H2-D1|IL12B|IL23A|SLC22A13|HSPA8","positive regulation of T cell mediated cytotoxicity","21","ENR","GO:0001916","-1.0","8.29317178190911E-12","GO:0001916","false","GO:0001916"
"1","-0.9999999999040879",,"5.9572060202404E-9",,"NCKAP1L|PPP3CB|MR1|AGER|H2-M3|P2RX7|IL7R|STX7|PTPRC|FADD|NECTIN2|XCL1|TAP2|H2-EA|KLRD1|HSPA8|PVR|IL12A|CYRIB|RIPK3|B2M|H2-K1|CEACAM1|H2-T23|H2-D1|IL12B|IL23A|SLC22A13","regulation of T cell mediated cytotoxicity","28","ENR","GO:0001914","-1.0","9.59120826156772E-11","GO:0001914","false","GO:0001914"
"1","-0.9999999983112693",,"7.70612630403338E-8",,"NCKAP1L|RAB27A|PPP3CB|GFUS|MR1|GZMB|CTSH|AGER|H2-M3|P2RX7|IL7R|STX7|PTPRC|PRF1|SERPINB9B|FADD|NECTIN2|XCL1|TAP2|H2-EA|KLRD1|HSPA8|CTSC|PVR|IL12A|SERPINB9|RAET1E|CYRIB|GZMM|RIPK3|B2M|H2-K1|CEACAM1|H2-T23|H2-D1|IL12B|IL23A|HPRT|EMP2|SLC22A13","T cell mediated cytotoxicity","40","ENR","GO:0001913","-1.0","1.68873071957798E-9","GO:0001913","false","GO:0001913"
"13","-0.9962434986638251",,"0.047455011229871",,"OAS1C|F2RL1|OAS1H|TNF|UBQLN1|COLEC12|OAS1A|UNC93B1|RFTN1|OAS1F|CAV1|WDFY1|OAS1D|TLR3|OAS1G|OAS1E|CD86|FLOT1|TNIP2|PTPN22|LGALS9|HAVCR2|TNFAIP3|PELI1|SCIMP","toll-like receptor 3 signaling pathway","25","ENR","GO:0034138","-1.0","0.00375650133617494","GO:0034138","false","GO:0034138"
"2","-0.9999999734806747",,"9.12264789665089E-7",,"ADCYAP1|PGK1|CFH|PARP1|AK1|SLC25A33|DDIT4|PPARGC1A|FLCN|SLC2A6|GM10053|ENPP3|CYCS|ATP1B1|TRP53|BPGM|AK4|ATP1A2|BAD|NDUFS3|CLPX|TEFM|PKLR|CHCHD10|NUDT2|COX5A|ATP5PB|ATP5D|COX4I2|NDUFS2|COX6C|MT-ND4|DGUOK|ATP5E|CHCHD2|COX7C|NDUFA12|NDUFS7|UQCR11|UQCRB|AK2|NMNAT1|ENO3|NDUFB9|SLC4A4|CYC1|GAPDHS|ATP5O|NDUFV3|MYH7|NDUFV2|NDUFB8|LDHA|COX8B|ATP5A1|UQCRC1|P2RX7|ATP5J|ATP5C1|NDUFS1|PSEN1|NDUFA10|KIF5C|TGFB1|CTNS|NDUFA8|NIPSNAP2|HDAC4|STOML2|NDUFC2|COX6A2|COX7B|GM3839|COQ9|GPI1|COX4I1|ATP5H|COX8A|COX6B1|GM10358|NDUFV1|FIS1|AFG1L|1700066M21RIK|STAT3|ATP5J2|OLA1|DNM1L|PINK1|RHOA|MYH3|COX6A1|ATP6V1A|ENO2|NDUFA7|MTCH2|COX8C|EP300|PROCA1|MAP2K1|UQCRQ|SLC25A51|COX7B2|GIT1|ATP5K|COA6|COX6B2|CYCT|ANTKMT|SDHC|UQCR10|CCNB1|NDUFS8|DNAJC30|INSR|COX5B|FOXK1|UQCRH|MT-ND1|MLXIPL|DNAJC15|SDHAF2|MT-ND2|UQCC2|MT-CO1|COX7A2L|MT-CO2|SHMT2|MT-ATP8|PRKAG3|COX7A2|MT-ATP6|SLC25A23|MT-CO3|MT-ND3|COX7A1|MT-ND4L|NDUFB6|UQCC3|HK2|CBFA2T3|ENO1B|COX5B-PS|AK9|DMAC2L|TIGAR|GCK|TSPO|ATPIF1|BCL2L1|HTR2A|MYH8|ENO1|SLC25A12|EIF6|NCOR1|MIR1A-1|MIR1A-2|TAZ|ARL2|PFKM|GM5426|HKDC1|SNCA|ENTPD1|FBP1|HK1|HSPA8|PPARA|VCP|PARK7|ENO4|PRKAA2|ZBTB20|ATP6V1B2|ACTN3|PRKN|TNF|TKFC|ATP5G2|SLC25A25|IGF1|ATP5G3|ATPSCKMT|CDK1|FAM20C|ALDOA|NUPR1|MYH6|IL4|LDHC|GUK1|PGAM2|PGK2|PDE12|DLD|SLC25A13|SDHA|MYOG|SLC4A1|BDNF|SPHK2|HIF1A|SIRT6|ESRRB|TREX1|PPIF|ALDOART1|ATP5L|PRKAA1|HK3|AK5|IFNG|NDUFS6|PRKAG2|GAPDH|COQ7|AMPD2|PGAM1|DHTKD1|ALDOC|IL3|FXN|OGDH|ATP5G1|ATP5B|MT-ND5|GALK1|JMJD8|MT-ND6|PFKP|ENTPD5|ALDOART2|PARG|BID|MYC|GPD1|TPI1|PID1|ATP7A|ADPGK|ZBTB7A|PRXL2C|ATP6V1B1|NUDT5|PKM|AK3|ABCD1|LDHD|OGT|APP|ALDOB|GALE|TREM2|FIGNL1|BEND3|PFKL|MSH2|ISCU|FOXK2|SDHD|AMPD3|MPI","ATP metabolic process","263","ENR","GO:0046034","-1.0","2.65193252809619E-8","GO:0046034","false","GO:0046034"
"1","-0.9999999712533624",,"9.73901237871434E-7",,"SH2D1A|SLAMF6|SH2D1B2|H2-M3|KLRC3|STX7|CD226|VAV1|FADD|NECTIN2|XCL1|TAP2|GIMAP3|H2-EA|ARG1|CXCL1|KLRD1|RASGRP1|PVR|IL12A|RAET1E|B2M|H2-K1|ULBP1|H2-T23|H2-D1|IL23A|SLC22A13|F2RL1|MR1|P2RX7|LAMP1|CRTAM|PTPRC|IL21|KLRE1|KLRK1|CD160|KLRC2|STAT5B|POMC|TYROBP|GIMAP5|STAP1|CCL2|HSPA8|LAG3|KLRC1|STAT5A|CYRIB|SPI1|IL18RAP|IL12B|CADM1|AP1G1","positive regulation of leukocyte mediated cytotoxicity","55","ENR","GO:0001912","-1.0","2.87466376115897E-8","GO:0001912","false","GO:0001912"
"10","-0.9997927164050557",,"0.00345885162906976",,"NCKAP1L|KLRB1B|PPP3CB|SH2D1B2|GFER|IL7R|PTPRC|KLRE1|SERPINB9B|SERPINB9C|TAP2|CLEC2D|CLEC12B|KLRD1|TAP1|CRK|SERPINB9F|SERPINB9|SERPINB9D|SERPINB9G|IGF2|SERPINB9E|CEACAM1|LGALS9|CX3CR1|HAVCR2|SERPINB9H|ARRB2","negative regulation of leukocyte mediated cytotoxicity","28","ENR","GO:0001911","-1.0","2.07283594944252E-4","GO:0001911","false","GO:0001911"
"1","-0.9999999997935516",,"1.21478612844645E-8",,"NCKAP1L|SH2D1A|SLAMF6|SH2D1B2|AGER|H2-M3|KLRC3|IL7R|STX7|CD226|VAV1|PIK3R6|SERPINB9B|SERPINB9C|FADD|NECTIN2|XCL1|TAP2|GIMAP3|H2-EA|ARG1|CXCL1|CLEC2D|CLEC12B|KLRD1|TAP1|RASGRP1|SERPINB9F|PVR|IL12A|SERPINB9|RAET1E|SERPINB9D|SERPINB9G|B2M|H2-K1|ULBP1|SERPINB9E|LGALS9|H2-T23|HAVCR2|SERPINB9H|H2-D1|IL23A|SLC22A13|DNASE1|F2RL1|KLRB1B|PPP3CB|DNASE1L3|MR1|GFER|P2RX7|LAMP1|CRTAM|PTPRC|IL21|KLRE1|KLRK1|CD160|KLRC2|STAT5B|POMC|TYROBP|GIMAP5|STAP1|CCL2|HSPA8|CXCL5|CRK|LAG3|KLRC1|STAT5A|CYRIB|RIPK3|SPI1|LEP|IGF2|CEACAM1|CX3CR1|IL18RAP|IL12B|CADM1|AP1G1|ARRB2","regulation of leukocyte mediated cytotoxicity","85","ENR","GO:0001910","-1.0","2.0644844758929E-10","GO:0001910","false","GO:0001910"
