Ensembl_ID,Gene name,Control_1,Control_2,Control_3,DAC_1,DAC_2,DAC_3
ENSMUSG00000086115,Gm15733,0,0,0,0,0,0
ENSMUSG00000086117,Gm12065,0,0,0,0,0,0
ENSMUSG00000086118,Gm14169,0,0,0,0,0,0
ENSMUSG00000086119,Gm2415,36,30,37,20,28,31
ENSMUSG00000086121,Gm16068,2,5,0,0,2,1
ENSMUSG00000086122,Gm14507,0,0,0,0,0,0
ENSMUSG00000086123,Gm16060,2.26,4.37,0,0,1.09,0
ENSMUSG00000086124,A530076I17Rik,0,0,0,0,1,0
ENSMUSG00000086125,Gm15942,0,0,0,0,0,0
ENSMUSG00000086126,5730457N03Rik,1,2,2,3,7,6
ENSMUSG00000086127,Gm11934,0,1,2,0,5.05,2.01
ENSMUSG00000086128,St8sia3os,0,0,0,0,0,0
ENSMUSG00000086129,Gm13558,0,0,0,0,0,0
ENSMUSG00000086130,Gm16211,387.93,409.49,377.18,285.5,391.59,451.14
ENSMUSG00000086132,Gm13631,0,0,0,0,0,0
ENSMUSG00000086133,Gm16331,0,0,0,0,0,0
ENSMUSG00000086134,Gm16159,0,0,0,0,0,0
ENSMUSG00000086135,1700001J04Rik,0,0,0,0,0,0
ENSMUSG00000086136,Gm12718,0,0,0,0,0,0
ENSMUSG00000086137,Gm16248,0,0,0,0,0,0
ENSMUSG00000086138,4930471C06Rik,0,0,0,0,0,0
ENSMUSG00000086139,Gm11211,0,0,0,0,0,0
ENSMUSG00000086140,Hnf1aos2,0,0,0,0,0,0
ENSMUSG00000086141,9030622O22Rik,0,0,0,0,0,0
ENSMUSG00000086142,Smek3-ps,0,0,0,0,0,0
ENSMUSG00000086144,Gm11379,0,0,0,0,0,0
ENSMUSG00000086145,Gm15479,0,0,0,0,2,1
ENSMUSG00000086146,Gm15729,0,0,0,0,0,0
ENSMUSG00000086147,Gm13150,1,1.05,0,1.29,1.04,3.51
ENSMUSG00000086148,Gm15271,0,0,0,0,0,0
ENSMUSG00000086149,Gm15598,0,1.09,1.07,1.07,0,0
ENSMUSG00000086150,Bach2os,0,1,0,0,0,0
ENSMUSG00000086151,Gm5698,0,0,0,2,3.01,1
ENSMUSG00000086152,Gm11454,0,0,0,0,1,0
ENSMUSG00000086153,Gm12923,0,0,0,0,0,1
ENSMUSG00000086154,Gm16196,0,0,0,3,0,1
ENSMUSG00000086155,9430041J12Rik,0,0,0,2,1,2
ENSMUSG00000086156,Gm15354,0,0,0,0,0,0
ENSMUSG00000086157,Gm14643,0,0,0,0,0,2
ENSMUSG00000086158,Ccpg1os,64.75,48.63,40.76,39.84,66.29,81.75
ENSMUSG00000086159,Gm13025,0,0,0,0,0,1
ENSMUSG00000086160,4933438A12Rik,0,0,0,0,1,0
ENSMUSG00000086161,Gm15389,1,0,1,64,107.01,142.57
ENSMUSG00000086162,Gm16342,0,0,0,0,0,0
ENSMUSG00000086163,Gm14206,6,5,5,5,9,5
ENSMUSG00000086164,Gm13029,0,0,1,0,2,1
ENSMUSG00000086165,Gm15690,0,0,0,1,1,1
ENSMUSG00000086166,Gm14342,0,0,0,9,8,13
ENSMUSG00000086167,Gm13827,1,0,0,0,0,0
ENSMUSG00000086168,Gm15221,0,0,0,0,0,0
ENSMUSG00000086170,Gm12144,0,0,0,0,0,0
ENSMUSG00000086171,Pcsk2os1,0,0,0,0,0,0
ENSMUSG00000086172,2700068H02Rik,0,3,1,0,1,2
ENSMUSG00000086173,Kis2,0,0,0,0,0,0
ENSMUSG00000086174,Gm6425,0,0,0,0,1,0
ENSMUSG00000086175,Gm15802,0,0,0,0,0,0
ENSMUSG00000086176,Gm15534,0,0,0,0,0,2
ENSMUSG00000086177,Gm14616,0,0,0,0,0,0
ENSMUSG00000086179,Gm14317,0,5,3,1,9,6
ENSMUSG00000086181,C230034O21Rik,0,0,0,0,0,0
ENSMUSG00000086184,Gm12764,1.48,0,3,3.86,3.2,4.28
ENSMUSG00000086185,1700036O09Rik,0,0,0,0,0,0
ENSMUSG00000086186,Ccdc34os,0,0,0,0,0,0
ENSMUSG00000086187,Gm12860,0,0,0,0,0,0
ENSMUSG00000086188,Gm15169,0,0,1,2,0,1
ENSMUSG00000086189,Gm15462,61.97,54,36.12,50.66,70.24,82.41
ENSMUSG00000086190,4930579M01Rik,0,0,0,0,0,0
ENSMUSG00000086191,Zfp652os,1,1,0,0,1,3
ENSMUSG00000086192,Gm13609,1,1,2.01,3,0,1
ENSMUSG00000086193,Gm11508,0,0,0,0,0,0
