Ensembl_ID,Gene name,Control_1,Control_2,Control_3,DAC_1,DAC_2,DAC_3
ENSMUSG00000043880,Olfr323,0,0,0,0,0,0
ENSMUSG00000043881,Kbtbd7,896.56,888.82,894.73,920.89,723.43,785.95
ENSMUSG00000043885,Slc36a4,2180,1836,2375,2646,1995,1963
ENSMUSG00000043889,Gm8399,10.8,12.15,11.17,11.95,15.06,10.73
ENSMUSG00000043892,Olfr1018,0,0,0,0,0,0
ENSMUSG00000043895,S1pr2,1391,1457,1796,2013,1777,1812
ENSMUSG00000043897,Vmn2r2,0,4,0,0,0,0
ENSMUSG00000043903,Gm22,626,630,586,658,581,658
ENSMUSG00000043909,Trp53bp1,2277.39,1957.17,2022.14,2538.38,2539.01,2012.4
ENSMUSG00000043911,Olfr922,0,0,0,0,0,0
ENSMUSG00000043913,Ccdc60,8,7,4,15,11,9
ENSMUSG00000043923,Ccdc84,395.09,366.93,440.06,337.9,274,342.97
ENSMUSG00000043924,Ncmap,43,12,31,50,69,51
ENSMUSG00000043925,Olfr544,7,5,5,3,0,3
ENSMUSG00000043929,Klhl15,727,619,797,750,582,558
ENSMUSG00000043931,Gimap7,0,0,0,0,0,0
ENSMUSG00000043932,Klri2,0,0,6,0,0,0
ENSMUSG00000043939,A530064D06Rik,3,0,1,0,0,0
ENSMUSG00000043940,Wdfy3,5769.92,4933.9,5410,6667,6004.98,4985
ENSMUSG00000043943,Naalad2,5,1,11,40,36,46
ENSMUSG00000043945,Adam6a,0,0,0,0,0,0
ENSMUSG00000043948,Olfr691,0,0,0,0,0,0
ENSMUSG00000043953,Ccrl2,5,3,14,13,2,10
ENSMUSG00000043962,Thrap3,17447.56,14962,17019,14454,13354,12317.41
ENSMUSG00000043964,Orai3,590,664,828,790,722,809
ENSMUSG00000043969,Emx2,0,0,0,0,0,0
ENSMUSG00000043972,Opn5,0,0,0,0,0,0
ENSMUSG00000043982,Krtap19-4,0,0,0,0,0,0
ENSMUSG00000043986,Spata31d1d,0,0,0,0,3,0
ENSMUSG00000043987,Cep164,2810,2728,2597,2610,2600,2604
ENSMUSG00000043991,Pura,6267,5146,5707,5438,4601,4449
ENSMUSG00000043993,2900052L18Rik,296,317,303,321,365,364
ENSMUSG00000043998,Mgat2,2483,2452,3017,4090,3804,3712
ENSMUSG00000043999,Gpr75,1,10,2,3,0,1
ENSMUSG00000044005,Gls2,252,222,267,222,300,246
ENSMUSG00000044006,Cilp2,3,7,4,5,3,8
ENSMUSG00000044014,Npy5r,0,0,0,6,2,4
ENSMUSG00000044017,Adgrd1,0,0,0,3,1,2
ENSMUSG00000044018,Mrpl50,1938,1780,2039,2125,1976,1801
ENSMUSG00000044021,Muc19,0,1,3,5,6,3
ENSMUSG00000044022,Pcdhb21,616.66,536.05,558.06,511.88,490.61,426.14
ENSMUSG00000044024,Rell2,57.7,38.06,91.06,50.55,146.34,63.59
ENSMUSG00000044025,Olfr790,0,0,0,0,0,0
ENSMUSG00000044026,Slc35g1,1718,1364.99,1882,2007.96,1621,1530.8
ENSMUSG00000044029,Olfr178,0,0,0,0,0,0
ENSMUSG00000044030,Irf2bp1,1474,1472,1767,1343,1402,1237
ENSMUSG00000044033,Ccdc141,879.81,869.83,1028.3,841.28,867.95,727.87
ENSMUSG00000044034,Npb,2,3,2,5,4,4
ENSMUSG00000044037,Als2cl,51,92,82,53,55,37
ENSMUSG00000044039,Olfr1288,0,0,0,0,0,0
ENSMUSG00000044040,Olfr1497,0,0,0,0,0,0
ENSMUSG00000044041,Krt13,0,0,0,4,0,0
ENSMUSG00000044042,Fmn1,2091,1683,1954,2016,1911,1681.71
ENSMUSG00000044043,Pcdhb14,708,533,724,639,597,526
ENSMUSG00000044052,Ccr10,102,101,114,95,94,106
ENSMUSG00000044055,Otos,40,17,39,42,42,67
ENSMUSG00000044056,Efcab9,5,8,5,1,6,10
ENSMUSG00000044058,Mthfr-ps1,0,0,0,0,0,0
ENSMUSG00000044060,A830010M20Rik,497.24,452.58,413.74,457.59,483.87,337.82
ENSMUSG00000044061,Olfr225,0,0,0,0,0,0
